FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
5009,AR,"Boone County, Arkansas",16.7%,6200
5011,AR,"Bradley County, Arkansas",22.1%,2500
5013,AR,"Calhoun County, Arkansas",19.5%,1030
5015,AR,"Carroll County, Arkansas",14.6%,4020
5017,AR,"Chicot County, Arkansas",28.5%,3270
5019,AR,"Clark County, Arkansas",21.9%,5000
5021,AR,"Clay County, Arkansas",18.4%,2870
5023,AR,"Cleburne County, Arkansas",17%,4390
5025,AR,"Cleveland County, Arkansas",18.3%,1570
5027,AR,"Columbia County, Arkansas",23.8%,5820
5029,AR,"Conway County, Arkansas",19.1%,4040
5031,AR,"Craighead County, Arkansas",19.7%,19670
5033,AR,"Crawford County, Arkansas",16.1%,9930
5035,AR,"Crittenden County, Arkansas",26.7%,13390
5037,AR,"Cross County, Arkansas",21.1%,3720
5039,AR,"Dallas County, Arkansas",23.8%,1900
5041,AR,"Desha County, Arkansas",27.6%,3480
5043,AR,"Drew County, Arkansas",24.8%,4650
5045,AR,"Faulkner County, Arkansas",17.7%,20810
5047,AR,"Franklin County, Arkansas",16.6%,2980
5049,AR,"Fulton County, Arkansas",17%,2080
5051,AR,"Garland County, Arkansas",18.7%,18110
5053,AR,"Grant County, Arkansas",14.9%,2680
5055,AR,"Greene County, Arkansas",17.8%,7640
5057,AR,"Hempstead County, Arkansas",20.9%,4690
5059,AR,"Hot Spring County, Arkansas",17.4%,5800
5061,AR,"Howard County, Arkansas",19.3%,2650
5063,AR,"Independence County, Arkansas",18.8%,6930
5065,AR,"Izard County, Arkansas",17.3%,2340
5067,AR,"Jackson County, Arkansas",22.7%,4040
5069,AR,"Jefferson County, Arkansas",27.1%,20250
5071,AR,"Johnson County, Arkansas",16.7%,4300
5073,AR,"Lafayette County, Arkansas",24%,1770
5075,AR,"Lawrence County, Arkansas",19.1%,3270
5077,AR,"Lee County, Arkansas",28.8%,2920
5079,AR,"Lincoln County, Arkansas",22.9%,3230
5081,AR,"Little River County, Arkansas",18.5%,2380
5083,AR,"Logan County, Arkansas",16.7%,3700
5085,AR,"Lonoke County, Arkansas",15.5%,10890
5087,AR,"Madison County, Arkansas",15.7%,2470
5089,AR,"Marion County, Arkansas",16.6%,2750
5091,AR,"Miller County, Arkansas",20.7%,9030
5093,AR,"Mississippi County, Arkansas",25.5%,11580
5095,AR,"Monroe County, Arkansas",25.7%,2020
5097,AR,"Montgomery County, Arkansas",17.4%,1620
5099,AR,"Nevada County, Arkansas",22.4%,1990
5101,AR,"Newton County, Arkansas",16.1%,1310
5103,AR,"Ouachita County, Arkansas",24.2%,6150
5105,AR,"Perry County, Arkansas",15.8%,1630
5107,AR,"Phillips County, Arkansas",31.6%,6590
5109,AR,"Pike County, Arkansas",18.4%,2050
5111,AR,"Poinsett County, Arkansas",20.7%,5030
5113,AR,"Polk County, Arkansas",16.8%,3440
5115,AR,"Pope County, Arkansas",17%,10660
5117,AR,"Prairie County, Arkansas",18.9%,1600
5119,AR,"Pulaski County, Arkansas",21.1%,82220
5121,AR,"Randolph County, Arkansas",18.5%,3290
5123,AR,"St. Francis County, Arkansas",27.8%,7680
5125,AR,"Saline County, Arkansas",13.9%,15530
5127,AR,"Scott County, Arkansas",15.5%,1710
5129,AR,"Searcy County, Arkansas",17.5%,1400
5131,AR,"Sebastian County, Arkansas",17.7%,22470
5133,AR,"Sevier County, Arkansas",14.3%,2470
5135,AR,"Sharp County, Arkansas",18.9%,3240
5137,AR,"Stone County, Arkansas",19.2%,2400
5139,AR,"Union County, Arkansas",22.2%,9090
5141,AR,"Van Buren County, Arkansas",19.3%,3300
5143,AR,"Washington County, Arkansas",16.4%,34730
5145,AR,"White County, Arkansas",17.9%,14030
5147,AR,"Woodruff County, Arkansas",24.3%,1720
5149,AR,"Yell County, Arkansas",14.9%,3280
6001,CA,"Alameda County, California",14.9%,232040
6003,CA,"Alpine County, California",15%,180
6005,CA,"Amador County, California",14.7%,5450
6007,CA,"Butte County, California",18%,39960
6009,CA,"Calaveras County, California",14.1%,6320
6011,CA,"Colusa County, California",14.3%,3060
6013,CA,"Contra Costa County, California",12.5%,134810
6015,CA,"Del Norte County, California",18.8%,5270
6017,CA,"El Dorado County, California",13%,23650
6019,CA,"Fresno County, California",16%,151960
6021,CA,"Glenn County, California",14.9%,4170
6023,CA,"Humboldt County, California",18%,24340
6025,CA,"Imperial County, California",16.6%,29380
6027,CA,"Inyo County, California",14.3%,2640
6029,CA,"Kern County, California",14.3%,122940
6031,CA,"Kings County, California",15.6%,23590
6033,CA,"Lake County, California",18.1%,11590
6035,CA,"Lassen County, California",17.1%,5720
6037,CA,"Los Angeles County, California",14%,1393170
6039,CA,"Madera County, California",13.4%,20380
6041,CA,"Marin County, California",11.5%,29620
6043,CA,"Mariposa County, California",16.3%,2920
6045,CA,"Mendocino County, California",15.7%,13780
6047,CA,"Merced County, California",15.5%,40480
6049,CA,"Modoc County, California",17.6%,1640
6051,CA,"Mono County, California",12.1%,1720
6053,CA,"Monterey County, California",11.8%,49980
6055,CA,"Napa County, California",10.6%,14820
6057,CA,"Nevada County, California",14.2%,14000
6059,CA,"Orange County, California",10.9%,335480
6061,CA,"Placer County, California",12.6%,45470
6063,CA,"Plumas County, California",18.1%,3490
6065,CA,"Riverside County, California",11.6%,262830
6067,CA,"Sacramento County, California",16.7%,242830
6069,CA,"San Benito County, California",9%,5100
6071,CA,"San Bernardino County, California",12.2%,254220
6073,CA,"San Diego County, California",13.3%,423130
6075,CA,"San Francisco County, California",16%,132670
6077,CA,"San Joaquin County, California",15.6%,109110
6079,CA,"San Luis Obispo County, California",13.8%,37930
6081,CA,"San Mateo County, California",10.1%,74910
6083,CA,"Santa Barbara County, California",11.5%,49610
6085,CA,"Santa Clara County, California",11%,202400
6087,CA,"Santa Cruz County, California",13.4%,35940
6089,CA,"Shasta County, California",18.3%,32710
6091,CA,"Sierra County, California",16.7%,500
6093,CA,"Siskiyou County, California",20%,8840
6095,CA,"Solano County, California",15.2%,64110
6097,CA,"Sonoma County, California",12.4%,61170
6099,CA,"Stanislaus County, California",15%,78380
6101,CA,"Sutter County, California",16.9%,16100
6103,CA,"Tehama County, California",15.7%,9950
6105,CA,"Trinity County, California",18.2%,2460
6107,CA,"Tulare County, California",14.4%,65040
6109,CA,"Tuolumne County, California",16.2%,8810
6111,CA,"Ventura County, California",9.4%,78840
6113,CA,"Yolo County, California",15.2%,31100
6115,CA,"Yuba County, California",18.1%,13190
8001,CO,"Adams County, Colorado",10.7%,49580
8003,CO,"Alamosa County, Colorado",14%,2260
8005,CO,"Arapahoe County, Colorado",14%,83450
8007,CO,"Archuleta County, Colorado",12.9%,1560
8009,CO,"Baca County, Colorado",13.6%,510
8011,CO,"Bent County, Colorado",13.8%,830
8013,CO,"Boulder County, Colorado",13.3%,40500
8014,CO,"Broomfield County, Colorado",11.2%,6590
8015,CO,"Chaffee County, Colorado",12.4%,2250
8017,CO,"Cheyenne County, Colorado",10.3%,220
8019,CO,"Clear Creek County, Colorado",12.1%,1100
8021,CO,"Conejos County, Colorado",8.9%,740
8023,CO,"Costilla County, Colorado",9.3%,330
8025,CO,"Crowley County, Colorado",14.7%,820
8027,CO,"Custer County, Colorado",15.3%,650
8029,CO,"Delta County, Colorado",14.8%,4500
8031,CO,"Denver County, Colorado",14.8%,93570
8033,CO,"Dolores County, Colorado",14.3%,250
8035,CO,"Douglas County, Colorado",9.3%,27780
8037,CO,"Eagle County, Colorado",9.4%,4910
8039,CO,"Elbert County, Colorado",10%,2360
8041,CO,"El Paso County, Colorado",14.7%,95180
8043,CO,"Fremont County, Colorado",16.6%,7780
8045,CO,"Garfield County, Colorado",11.2%,6350
8047,CO,"Gilpin County, Colorado",12.3%,690
8049,CO,"Grand County, Colorado",12.4%,1800
8051,CO,"Gunnison County, Colorado",15.5%,2400
8053,CO,"Hinsdale County, Colorado",12.2%,110
8055,CO,"Huerfano County, Colorado",14%,920
8057,CO,"Jackson County, Colorado",12.2%,170
8059,CO,"Jefferson County, Colorado",11.5%,63050
8061,CO,"Kiowa County, Colorado",14.3%,200
8063,CO,"Kit Carson County, Colorado",12.9%,1040
8065,CO,"Lake County, Colorado",11.7%,860
8067,CO,"La Plata County, Colorado",12.8%,6720
8069,CO,"Larimer County, Colorado",13.8%,42880
8071,CO,"Las Animas County, Colorado",10.9%,1610
8073,CO,"Lincoln County, Colorado",15.5%,850
8075,CO,"Logan County, Colorado",13.6%,3070
8077,CO,"Mesa County, Colorado",14.5%,21390
8079,CO,"Mineral County, Colorado",12.5%,90
8081,CO,"Moffat County, Colorado",12.8%,1700
8083,CO,"Montezuma County, Colorado",15.3%,3900
8085,CO,"Montrose County, Colorado",14.1%,5770
8087,CO,"Morgan County, Colorado",10.9%,3080
8089,CO,"Otero County, Colorado",13.8%,2590
8091,CO,"Ouray County, Colorado",13.1%,590
8093,CO,"Park County, Colorado",11.2%,1810
8095,CO,"Phillips County, Colorado",12%,520
8097,CO,"Pitkin County, Colorado",12.9%,2220
8099,CO,"Prowers County, Colorado",12.1%,1500
8101,CO,"Pueblo County, Colorado",12.3%,19760
8103,CO,"Rio Blanco County, Colorado",14.6%,990
8105,CO,"Rio Grande County, Colorado",12.8%,1510
8107,CO,"Routt County, Colorado",12.9%,3030
8109,CO,"Saguache County, Colorado",14%,870
8111,CO,"San Juan County, Colorado",14.1%,90
8113,CO,"San Miguel County, Colorado",13.9%,1050
8115,CO,"Sedgwick County, Colorado",13.4%,320
8117,CO,"Summit County, Colorado",12.3%,3510
8119,CO,"Teller County, Colorado",12.3%,2880
8121,CO,"Washington County, Colorado",12.8%,610
8123,CO,"Weld County, Colorado",10.6%,28120
8125,CO,"Yuma County, Colorado",11.5%,1170
