FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
13305,GA,"Wayne County, Georgia",17.6%,5310
13307,GA,"Webster County, Georgia",21.5%,590
13309,GA,"Wheeler County, Georgia",23.2%,1840
13311,GA,"White County, Georgia",13.6%,3750
13313,GA,"Whitfield County, Georgia",10.9%,11280
13315,GA,"Wilcox County, Georgia",20.8%,1880
13317,GA,"Wilkes County, Georgia",22.2%,2240
13319,GA,"Wilkinson County, Georgia",18.7%,1770
13321,GA,"Worth County, Georgia",17.4%,3720
15001,HI,"Hawaii County, Hawaii",14.2%,26940
15003,HI,"Honolulu County, Hawaii",13%,127040
15005,HI,"Kalawao County, Hawaii",21.3%,20
15007,HI,"Kauai County, Hawaii",12.8%,8810
15009,HI,"Maui County, Hawaii",13.1%,20740
16001,ID,"Ada County, Idaho",14.2%,58120
16003,ID,"Adams County, Idaho",17.4%,680
16005,ID,"Bannock County, Idaho",15.2%,12700
16007,ID,"Bear Lake County, Idaho",13.7%,810
16009,ID,"Benewah County, Idaho",17.5%,1600
16011,ID,"Bingham County, Idaho",12.5%,5680
16013,ID,"Blaine County, Idaho",11.7%,2490
16015,ID,"Boise County, Idaho",15.3%,1050
16017,ID,"Bonner County, Idaho",16.9%,6900
16019,ID,"Bonneville County, Idaho",13%,13870
16021,ID,"Boundary County, Idaho",16.2%,1770
16023,ID,"Butte County, Idaho",14.9%,410
16025,ID,"Camas County, Idaho",14.4%,170
16027,ID,"Canyon County, Idaho",14%,27420
16029,ID,"Caribou County, Idaho",12.2%,840
16031,ID,"Cassia County, Idaho",11.8%,2750
16033,ID,"Clark County, Idaho",12.7%,100
16035,ID,"Clearwater County, Idaho",16.9%,1460
16037,ID,"Custer County, Idaho",16.9%,720
16039,ID,"Elmore County, Idaho",15.6%,4100
16041,ID,"Franklin County, Idaho",12.9%,1650
16043,ID,"Fremont County, Idaho",12.1%,1570
16045,ID,"Gem County, Idaho",15.7%,2620
16047,ID,"Gooding County, Idaho",12.7%,1930
16049,ID,"Idaho County, Idaho",16.3%,2660
16051,ID,"Jefferson County, Idaho",12%,3190
16053,ID,"Jerome County, Idaho",11.9%,2700
16055,ID,"Kootenai County, Idaho",15.4%,21920
16057,ID,"Latah County, Idaho",18%,6820
16059,ID,"Lemhi County, Idaho",18.5%,1450
16061,ID,"Lewis County, Idaho",15.4%,590
16063,ID,"Lincoln County, Idaho",12%,630
16065,ID,"Madison County, Idaho",20.5%,7760
16067,ID,"Minidoka County, Idaho",10.7%,2170
16069,ID,"Nez Perce County, Idaho",14.7%,5830
16071,ID,"Oneida County, Idaho",13.7%,580
16073,ID,"Owyhee County, Idaho",14.3%,1630
16075,ID,"Payette County, Idaho",14.1%,3190
16077,ID,"Power County, Idaho",11.4%,880
16079,ID,"Shoshone County, Idaho",19.2%,2430
16081,ID,"Teton County, Idaho",11.9%,1220
16083,ID,"Twin Falls County, Idaho",14.1%,11160
16085,ID,"Valley County, Idaho",15.4%,1490
16087,ID,"Washington County, Idaho",14.2%,1430
17001,IL,"Adams County, Illinois",12.4%,8320
17003,IL,"Alexander County, Illinois",24%,1880
17005,IL,"Bond County, Illinois",12.5%,2200
17007,IL,"Boone County, Illinois",8.5%,4580
17009,IL,"Brown County, Illinois",11.3%,780
17011,IL,"Bureau County, Illinois",11%,3770
17013,IL,"Calhoun County, Illinois",11.9%,600
17015,IL,"Carroll County, Illinois",11.3%,1690
17017,IL,"Cass County, Illinois",10.2%,1370
17019,IL,"Champaign County, Illinois",16.3%,33340
17021,IL,"Christian County, Illinois",13%,4460
17023,IL,"Clark County, Illinois",12.1%,1970
17025,IL,"Clay County, Illinois",12.5%,1700
17027,IL,"Clinton County, Illinois",9.4%,3580
17029,IL,"Coles County, Illinois",15.7%,8420
17031,IL,"Cook County, Illinois",13.9%,729020
17033,IL,"Crawford County, Illinois",11.7%,2300
17035,IL,"Cumberland County, Illinois",11.5%,1260
17037,IL,"DeKalb County, Illinois",13.7%,14360
17039,IL,"De Witt County, Illinois",11.1%,1820
17041,IL,"Douglas County, Illinois",10%,1990
17043,IL,"DuPage County, Illinois",8%,74090
17045,IL,"Edgar County, Illinois",13.3%,2410
17047,IL,"Edwards County, Illinois",11.3%,750
17049,IL,"Effingham County, Illinois",10.2%,3490
17051,IL,"Fayette County, Illinois",12.8%,2820
17053,IL,"Ford County, Illinois",11.1%,1550
17055,IL,"Franklin County, Illinois",14.8%,5890
17057,IL,"Fulton County, Illinois",13.3%,4870
17059,IL,"Gallatin County, Illinois",13%,710
17061,IL,"Greene County, Illinois",12.5%,1710
17063,IL,"Grundy County, Illinois",10.6%,5310
17065,IL,"Hamilton County, Illinois",12%,1000
17067,IL,"Hancock County, Illinois",11.4%,2150
17069,IL,"Hardin County, Illinois",14.9%,630
17071,IL,"Henderson County, Illinois",10.8%,770
17073,IL,"Henry County, Illinois",10.7%,5370
17075,IL,"Iroquois County, Illinois",11.5%,3370
17077,IL,"Jackson County, Illinois",19.4%,11660
17079,IL,"Jasper County, Illinois",9.2%,890
17081,IL,"Jefferson County, Illinois",14.4%,5560
17083,IL,"Jersey County, Illinois",10.4%,2370
17085,IL,"Jo Daviess County, Illinois",10.2%,2290
17087,IL,"Johnson County, Illinois",14.4%,1830
17089,IL,"Kane County, Illinois",7.2%,37350
17091,IL,"Kankakee County, Illinois",14.3%,16120
17093,IL,"Kendall County, Illinois",6.8%,8010
17095,IL,"Knox County, Illinois",14.4%,7550
17097,IL,"Lake County, Illinois",8%,56340
17099,IL,"LaSalle County, Illinois",11.8%,13270
17101,IL,"Lawrence County, Illinois",14.5%,2430
17103,IL,"Lee County, Illinois",11.3%,3970
17105,IL,"Livingston County, Illinois",11.5%,4430
17107,IL,"Logan County, Illinois",13.4%,4030
17109,IL,"McDonough County, Illinois",16%,5200
17111,IL,"McHenry County, Illinois",7.6%,23380
17113,IL,"McLean County, Illinois",12.4%,21390
17115,IL,"Macon County, Illinois",16.4%,17970
17117,IL,"Macoupin County, Illinois",12%,5660
17119,IL,"Madison County, Illinois",13.2%,35300
17121,IL,"Marion County, Illinois",14%,5460
17123,IL,"Marshall County, Illinois",10.4%,1280
17125,IL,"Mason County, Illinois",13.7%,1960
17127,IL,"Massac County, Illinois",14.5%,2190
17129,IL,"Menard County, Illinois",9.9%,1250
17131,IL,"Mercer County, Illinois",11.1%,1800
17133,IL,"Monroe County, Illinois",8.3%,2780
17135,IL,"Montgomery County, Illinois",14%,4170
17137,IL,"Morgan County, Illinois",13.2%,4660
17139,IL,"Moultrie County, Illinois",11.2%,1670
17141,IL,"Ogle County, Illinois",10.6%,5590
17143,IL,"Peoria County, Illinois",15.9%,29760
17145,IL,"Perry County, Illinois",14.6%,3230
17147,IL,"Piatt County, Illinois",9%,1490
17149,IL,"Pike County, Illinois",11.8%,1910
17151,IL,"Pope County, Illinois",13.1%,570
17153,IL,"Pulaski County, Illinois",18.8%,1120
17155,IL,"Putnam County, Illinois",10.7%,630
17157,IL,"Randolph County, Illinois",12.4%,4120
17159,IL,"Richland County, Illinois",12.5%,2020
17161,IL,"Rock Island County, Illinois",12.5%,18310
17163,IL,"St. Clair County, Illinois",17.5%,46990
17165,IL,"Saline County, Illinois",15.2%,3790
17167,IL,"Sangamon County, Illinois",13.5%,26930
17169,IL,"Schuyler County, Illinois",11.8%,880
17171,IL,"Scott County, Illinois",11.8%,620
17173,IL,"Shelby County, Illinois",11.2%,2480
17175,IL,"Stark County, Illinois",10.9%,640
17177,IL,"Stephenson County, Illinois",14.2%,6680
17179,IL,"Tazewell County, Illinois",10.9%,14750
17181,IL,"Union County, Illinois",13.6%,2400
17183,IL,"Vermilion County, Illinois",15.8%,12730
17185,IL,"Wabash County, Illinois",11.5%,1340
17187,IL,"Warren County, Illinois",11.3%,2010
17189,IL,"Washington County, Illinois",10.1%,1470
17191,IL,"Wayne County, Illinois",11.9%,1980
17193,IL,"White County, Illinois",11.8%,1710
17195,IL,"Whiteside County, Illinois",10.4%,6030
17197,IL,"Will County, Illinois",8.8%,60220
17199,IL,"Williamson County, Illinois",13.4%,8960
17201,IL,"Winnebago County, Illinois",14.4%,42120
17203,IL,"Woodford County, Illinois",9.1%,3540
18001,IN,"Adams County, Indiana",12.7%,4400
18003,IN,"Allen County, Indiana",14.9%,53890
18005,IN,"Bartholomew County, Indiana",12.3%,9660
18007,IN,"Benton County, Indiana",13%,1140
18009,IN,"Blackford County, Indiana",14.8%,1870
18011,IN,"Boone County, Indiana",10.6%,6300
18013,IN,"Brown County, Indiana",12.6%,1910
18015,IN,"Carroll County, Indiana",11.4%,2280
18017,IN,"Cass County, Indiana",12.5%,4850
18019,IN,"Clark County, Indiana",13.5%,15090
18021,IN,"Clay County, Indiana",14.3%,3840
18023,IN,"Clinton County, Indiana",11.4%,3750
18025,IN,"Crawford County, Indiana",14.6%,1550
18027,IN,"Daviess County, Indiana",12.2%,3930
18029,IN,"Dearborn County, Indiana",12.3%,6120
18031,IN,"Decatur County, Indiana",13.3%,3470
18033,IN,"DeKalb County, Indiana",12.3%,5210
18035,IN,"Delaware County, Indiana",17.7%,20780
18037,IN,"Dubois County, Indiana",10.3%,4360
18039,IN,"Elkhart County, Indiana",12.7%,25370
18041,IN,"Fayette County, Indiana",16.8%,4020
18043,IN,"Floyd County, Indiana",13.5%,10150
18045,IN,"Fountain County, Indiana",13.6%,2310
18047,IN,"Franklin County, Indiana",13.1%,3000
18049,IN,"Fulton County, Indiana",13.8%,2840
18051,IN,"Gibson County, Indiana",12.1%,4070
18053,IN,"Grant County, Indiana",16.3%,11320
18055,IN,"Greene County, Indiana",14.3%,4700
18057,IN,"Hamilton County, Indiana",9.4%,27150
18059,IN,"Hancock County, Indiana",11.1%,7880
18061,IN,"Harrison County, Indiana",12.1%,4750
18063,IN,"Hendricks County, Indiana",10.5%,15780
18065,IN,"Henry County, Indiana",15.1%,7430
18067,IN,"Howard County, Indiana",15.9%,13170
18069,IN,"Huntington County, Indiana",12.8%,4730
18071,IN,"Jackson County, Indiana",12.4%,5360
18073,IN,"Jasper County, Indiana",11.7%,3910
18075,IN,"Jay County, Indiana",13.7%,2910
18077,IN,"Jefferson County, Indiana",14.3%,4630
18079,IN,"Jennings County, Indiana",14.3%,4040
18081,IN,"Johnson County, Indiana",12.2%,17470
18083,IN,"Knox County, Indiana",14.7%,5600
18085,IN,"Kosciusko County, Indiana",11.4%,8840
18087,IN,"LaGrange County, Indiana",11.8%,4460
18089,IN,"Lake County, Indiana",16.5%,81570
18091,IN,"LaPorte County, Indiana",16.2%,17980
18093,IN,"Lawrence County, Indiana",14.4%,6610
18095,IN,"Madison County, Indiana",16.1%,21000
18097,IN,"Marion County, Indiana",19.4%,177940
18099,IN,"Marshall County, Indiana",11.9%,5600
18101,IN,"Martin County, Indiana",12.7%,1300
18103,IN,"Miami County, Indiana",14.9%,5440
18105,IN,"Monroe County, Indiana",17.8%,25130
18107,IN,"Montgomery County, Indiana",13.5%,5140
18109,IN,"Morgan County, Indiana",12.7%,8780
18111,IN,"Newton County, Indiana",12.8%,1820
18113,IN,"Noble County, Indiana",11.5%,5480
18115,IN,"Ohio County, Indiana",13.3%,810
18117,IN,"Orange County, Indiana",15.5%,3070
18119,IN,"Owen County, Indiana",14.6%,3100
18121,IN,"Parke County, Indiana",13.9%,2380
18123,IN,"Perry County, Indiana",13.1%,2550
18125,IN,"Pike County, Indiana",12.1%,1550
18127,IN,"Porter County, Indiana",11.7%,19350
18129,IN,"Posey County, Indiana",11.3%,2910
18131,IN,"Pulaski County, Indiana",13%,1700
18133,IN,"Putnam County, Indiana",13.2%,4970
18135,IN,"Randolph County, Indiana",14.3%,3700
18137,IN,"Ripley County, Indiana",12.6%,3600
18139,IN,"Rush County, Indiana",14.2%,2430
18141,IN,"St. Joseph County, Indiana",16%,42620
18143,IN,"Scott County, Indiana",15.3%,3650
18145,IN,"Shelby County, Indiana",12.9%,5740
18147,IN,"Spencer County, Indiana",11.7%,2440
18149,IN,"Starke County, Indiana",14.3%,3330
18151,IN,"Steuben County, Indiana",12%,4100
18153,IN,"Sullivan County, Indiana",15.8%,3350
18155,IN,"Switzerland County, Indiana",14.9%,1570
18157,IN,"Tippecanoe County, Indiana",16.4%,29130
18159,IN,"Tipton County, Indiana",11.9%,1860
18161,IN,"Union County, Indiana",12.9%,950
18163,IN,"Vanderburgh County, Indiana",16%,29010
18165,IN,"Vermillion County, Indiana",14.5%,2310
18167,IN,"Vigo County, Indiana",17.8%,19260
18169,IN,"Wabash County, Indiana",13.3%,4330
18171,IN,"Warren County, Indiana",11.7%,980
18173,IN,"Warrick County, Indiana",10.8%,6560
18175,IN,"Washington County, Indiana",13.8%,3860
18177,IN,"Wayne County, Indiana",16.7%,11450
18179,IN,"Wells County, Indiana",11.8%,3280
18181,IN,"White County, Indiana",11.3%,2770
18183,IN,"Whitley County, Indiana",11.3%,3750
19001,IA,"Adair County, Iowa",11.5%,870
19003,IA,"Adams County, Iowa",11.7%,460
19005,IA,"Allamakee County, Iowa",12.1%,1720
19007,IA,"Appanoose County, Iowa",14%,1790
19009,IA,"Audubon County, Iowa",11.2%,670
19011,IA,"Benton County, Iowa",11%,2850
19013,IA,"Black Hawk County, Iowa",15.1%,19900
19015,IA,"Boone County, Iowa",11.3%,2980
19017,IA,"Bremer County, Iowa",10.3%,2520
19019,IA,"Buchanan County, Iowa",11.3%,2370
19021,IA,"Buena Vista County, Iowa",9.5%,1940
19023,IA,"Butler County, Iowa",11.3%,1690
19025,IA,"Calhoun County, Iowa",13%,1300
19027,IA,"Carroll County, Iowa",11.3%,2330
19029,IA,"Cass County, Iowa",13.1%,1790
19031,IA,"Cedar County, Iowa",10.5%,1940
19033,IA,"Cerro Gordo County, Iowa",13.1%,5710
19035,IA,"Cherokee County, Iowa",12.1%,1450
19037,IA,"Chickasaw County, Iowa",11.7%,1440
19039,IA,"Clarke County, Iowa",12.9%,1190
19041,IA,"Clay County, Iowa",11.9%,1970
19043,IA,"Clayton County, Iowa",12.2%,2190
19045,IA,"Clinton County, Iowa",13.5%,6560
19047,IA,"Crawford County, Iowa",9.6%,1650
19049,IA,"Dallas County, Iowa",9.3%,6710
19051,IA,"Davis County, Iowa",14.3%,1250
19053,IA,"Decatur County, Iowa",14.4%,1190
19055,IA,"Delaware County, Iowa",10.8%,1900
19057,IA,"Des Moines County, Iowa",14.4%,5790
19059,IA,"Dickinson County, Iowa",11.5%,1940
19061,IA,"Dubuque County, Iowa",12.3%,11750
19063,IA,"Emmet County, Iowa",10.6%,1070
19065,IA,"Fayette County, Iowa",12.8%,2650
19067,IA,"Floyd County, Iowa",13.5%,2170
19069,IA,"Franklin County, Iowa",10.8%,1140
19071,IA,"Fremont County, Iowa",11.4%,820
19073,IA,"Greene County, Iowa",12%,1110
19075,IA,"Grundy County, Iowa",10.6%,1310
19077,IA,"Guthrie County, Iowa",11.6%,1250
19079,IA,"Hamilton County, Iowa",12.4%,1910
19081,IA,"Hancock County, Iowa",10%,1110
19083,IA,"Hardin County, Iowa",11.4%,1980
19085,IA,"Harrison County, Iowa",11.3%,1650
19087,IA,"Henry County, Iowa",13.1%,2640
19089,IA,"Howard County, Iowa",11.8%,1120
19091,IA,"Humboldt County, Iowa",11.8%,1150
19093,IA,"Ida County, Iowa",12.4%,880
19095,IA,"Iowa County, Iowa",11%,1800
19097,IA,"Jackson County, Iowa",12.6%,2480
19099,IA,"Jasper County, Iowa",12.5%,4600
19101,IA,"Jefferson County, Iowa",13.4%,2290
19103,IA,"Johnson County, Iowa",14.1%,19320
19105,IA,"Jones County, Iowa",12.1%,2490
19107,IA,"Keokuk County, Iowa",12.2%,1260
19109,IA,"Kossuth County, Iowa",10.3%,1590
19111,IA,"Lee County, Iowa",14.5%,5140
19113,IA,"Linn County, Iowa",12.1%,26080
19115,IA,"Louisa County, Iowa",9.9%,1120
19117,IA,"Lucas County, Iowa",12.6%,1110
19119,IA,"Lyon County, Iowa",9.5%,1110
19121,IA,"Madison County, Iowa",11.5%,1800
19123,IA,"Mahaska County, Iowa",13.4%,3000
19125,IA,"Marion County, Iowa",11.4%,3790
19127,IA,"Marshall County, Iowa",10.5%,4300
19129,IA,"Mills County, Iowa",9.9%,1480
19131,IA,"Mitchell County, Iowa",11.1%,1190
19133,IA,"Monona County, Iowa",13.1%,1200
19135,IA,"Monroe County, Iowa",12.6%,1010
19137,IA,"Montgomery County, Iowa",13.6%,1440
19139,IA,"Muscatine County, Iowa",10.5%,4480
19141,IA,"O'Brien County, Iowa",11%,1550
19143,IA,"Osceola County, Iowa",10.1%,630
19145,IA,"Page County, Iowa",12.8%,2010
19147,IA,"Palo Alto County, Iowa",11.7%,1080
19149,IA,"Plymouth County, Iowa",9.9%,2460
19151,IA,"Pocahontas County, Iowa",12%,860
19153,IA,"Polk County, Iowa",12.5%,55630
19155,IA,"Pottawattamie County, Iowa",12.2%,11400
19157,IA,"Poweshiek County, Iowa",12.6%,2360
19159,IA,"Ringgold County, Iowa",12.9%,660
19161,IA,"Sac County, Iowa",10.7%,1090
19163,IA,"Scott County, Iowa",13.8%,23220
19165,IA,"Shelby County, Iowa",11.3%,1350
19167,IA,"Sioux County, Iowa",9%,3090
19169,IA,"Story County, Iowa",15.4%,14140
19171,IA,"Tama County, Iowa",11.7%,2060
19173,IA,"Taylor County, Iowa",11.8%,740
19175,IA,"Union County, Iowa",13%,1640
19177,IA,"Van Buren County, Iowa",12%,890
19179,IA,"Wapello County, Iowa",13.6%,4810
19181,IA,"Warren County, Iowa",10.2%,4780
19183,IA,"Washington County, Iowa",10.7%,2350
19185,IA,"Wayne County, Iowa",12.7%,810
19187,IA,"Webster County, Iowa",14.4%,5400
19189,IA,"Winnebago County, Iowa",11.6%,1230
19191,IA,"Winneshiek County, Iowa",11.2%,2350
19193,IA,"Woodbury County, Iowa",12.2%,12510
19195,IA,"Worth County, Iowa",12%,910
19197,IA,"Wright County, Iowa",11%,1430
20001,KS,"Allen County, Kansas",15.5%,2050
20003,KS,"Anderson County, Kansas",14.9%,1190
20005,KS,"Atchison County, Kansas",16.6%,2780
20007,KS,"Barber County, Kansas",12.7%,620
20009,KS,"Barton County, Kansas",12.9%,3540
20011,KS,"Bourbon County, Kansas",16%,2380
20013,KS,"Brown County, Kansas",15.4%,1530
20015,KS,"Butler County, Kansas",12.8%,8450
20017,KS,"Chase County, Kansas",13.5%,370
20019,KS,"Chautauqua County, Kansas",14.4%,520
20021,KS,"Cherokee County, Kansas",14.9%,3160
20023,KS,"Cheyenne County, Kansas",11.6%,310
20025,KS,"Clark County, Kansas",11.9%,260
20027,KS,"Clay County, Kansas",12.7%,1070
20029,KS,"Cloud County, Kansas",14.5%,1370
20031,KS,"Coffey County, Kansas",13.2%,1120
20033,KS,"Comanche County, Kansas",11.2%,210
20035,KS,"Cowley County, Kansas",14.5%,5260
20037,KS,"Crawford County, Kansas",17.4%,6840
20039,KS,"Decatur County, Kansas",13.6%,400
20041,KS,"Dickinson County, Kansas",13.6%,2670
20043,KS,"Doniphan County, Kansas",14%,1110
20045,KS,"Douglas County, Kansas",16.9%,19190
20047,KS,"Edwards County, Kansas",10.2%,310
20049,KS,"Elk County, Kansas",14.1%,390
20051,KS,"Ellis County, Kansas",14.4%,4150
20053,KS,"Ellsworth County, Kansas",12.3%,790
20055,KS,"Finney County, Kansas",8.5%,3140
20057,KS,"Ford County, Kansas",7.8%,2710
20059,KS,"Franklin County, Kansas",14.3%,3690
20061,KS,"Geary County, Kansas",19.1%,6970
20063,KS,"Gove County, Kansas",11.6%,320
20065,KS,"Graham County, Kansas",13.1%,340
20067,KS,"Grant County, Kansas",6.5%,510
20069,KS,"Gray County, Kansas",10%,610
20071,KS,"Greeley County, Kansas",9.5%,120
20073,KS,"Greenwood County, Kansas",13.7%,890
20075,KS,"Hamilton County, Kansas",8.5%,220
20077,KS,"Harper County, Kansas",13.2%,780
20079,KS,"Harvey County, Kansas",12.9%,4470
20081,KS,"Haskell County, Kansas",8.2%,340
20083,KS,"Hodgeman County, Kansas",10.5%,200
20085,KS,"Jackson County, Kansas",12.5%,1690
20087,KS,"Jefferson County, Kansas",11.9%,2260
20089,KS,"Jewell County, Kansas",13.2%,400
20091,KS,"Johnson County, Kansas",11.6%,64990
20093,KS,"Kearny County, Kansas",8.3%,330
20095,KS,"Kingman County, Kansas",13.3%,1040
20097,KS,"Kiowa County, Kansas",14.6%,370
20099,KS,"Labette County, Kansas",16%,3390
20101,KS,"Lane County, Kansas",11.3%,190
20103,KS,"Leavenworth County, Kansas",14.4%,11160
20105,KS,"Lincoln County, Kansas",13.3%,420
20107,KS,"Linn County, Kansas",14.8%,1420
20109,KS,"Logan County, Kansas",12%,330
20111,KS,"Lyon County, Kansas",15%,5040
20113,KS,"McPherson County, Kansas",11.7%,3410
20115,KS,"Marion County, Kansas",12.9%,1610
20117,KS,"Marshall County, Kansas",12.9%,1290
20119,KS,"Meade County, Kansas",11.2%,500
20121,KS,"Miami County, Kansas",12.3%,4030
20123,KS,"Mitchell County, Kansas",13.2%,830
20125,KS,"Montgomery County, Kansas",16.2%,5620
20127,KS,"Morris County, Kansas",12.2%,710
20129,KS,"Morton County, Kansas",11.2%,350
20131,KS,"Nemaha County, Kansas",12.5%,1270
20133,KS,"Neosho County, Kansas",15.7%,2590
20135,KS,"Ness County, Kansas",10.6%,330
20137,KS,"Norton County, Kansas",12%,680
20139,KS,"Osage County, Kansas",13.8%,2230
20141,KS,"Osborne County, Kansas",14.3%,540
20143,KS,"Ottawa County, Kansas",11.6%,710
20145,KS,"Pawnee County, Kansas",12.8%,890
20147,KS,"Phillips County, Kansas",12.4%,690
20149,KS,"Pottawatomie County, Kansas",11.8%,2640
20151,KS,"Pratt County, Kansas",12.9%,1260
20153,KS,"Rawlins County, Kansas",12.9%,330
20155,KS,"Reno County, Kansas",13.8%,8870
20157,KS,"Republic County, Kansas",13%,630
20159,KS,"Rice County, Kansas",12.8%,1280
20161,KS,"Riley County, Kansas",18.5%,13760
20163,KS,"Rooks County, Kansas",14.1%,730
20165,KS,"Rush County, Kansas",13.1%,420
20167,KS,"Russell County, Kansas",14.2%,990
20169,KS,"Saline County, Kansas",14.4%,8040
20171,KS,"Scott County, Kansas",9.2%,460
20173,KS,"Sedgwick County, Kansas",15%,75680
20175,KS,"Seward County, Kansas",7.1%,1650
20177,KS,"Shawnee County, Kansas",15.2%,27220
20179,KS,"Sheridan County, Kansas",11.5%,290
20181,KS,"Sherman County, Kansas",15%,910
20183,KS,"Smith County, Kansas",14%,530
20185,KS,"Stafford County, Kansas",11.3%,490
20187,KS,"Stanton County, Kansas",7.5%,170
20189,KS,"Stevens County, Kansas",7.4%,420
20191,KS,"Sumner County, Kansas",13%,3080
20193,KS,"Thomas County, Kansas",12%,950
20195,KS,"Trego County, Kansas",11.9%,350
20197,KS,"Wabaunsee County, Kansas",11%,770
20199,KS,"Wallace County, Kansas",11.7%,180
20201,KS,"Washington County, Kansas",12.2%,700
20203,KS,"Wichita County, Kansas",8.5%,190
20205,KS,"Wilson County, Kansas",16.2%,1490
20207,KS,"Woodson County, Kansas",14.8%,480
20209,KS,"Wyandotte County, Kansas",18.1%,28940
21001,KY,"Adair County, Kentucky",16.2%,3080
21003,KY,"Allen County, Kentucky",14.8%,3000
21005,KY,"Anderson County, Kentucky",12.6%,2730
21007,KY,"Ballard County, Kentucky",14.5%,1200
21009,KY,"Barren County, Kentucky",15.7%,6720
21011,KY,"Bath County, Kentucky",17.5%,2080
21013,KY,"Bell County, Kentucky",20.7%,5850
21015,KY,"Boone County, Kentucky",11.3%,13890
21017,KY,"Bourbon County, Kentucky",15.4%,3080
21019,KY,"Boyd County, Kentucky",16.1%,7920
21021,KY,"Boyle County, Kentucky",16.1%,4690
21023,KY,"Bracken County, Kentucky",14.5%,1230
21025,KY,"Breathitt County, Kentucky",19.9%,2720
21027,KY,"Breckinridge County, Kentucky",14.7%,2940
21029,KY,"Bullitt County, Kentucky",11.7%,8870
21031,KY,"Butler County, Kentucky",16.5%,2110
21033,KY,"Caldwell County, Kentucky",15.9%,2040
21035,KY,"Calloway County, Kentucky",16%,6060
21037,KY,"Campbell County, Kentucky",13.5%,12320
21039,KY,"Carlisle County, Kentucky",14%,710
21041,KY,"Carroll County, Kentucky",17.9%,1940
21043,KY,"Carter County, Kentucky",16.8%,4610
21045,KY,"Casey County, Kentucky",16.2%,2600
21047,KY,"Christian County, Kentucky",20%,14890
21049,KY,"Clark County, Kentucky",15.1%,5390
21051,KY,"Clay County, Kentucky",21.2%,4560
21053,KY,"Clinton County, Kentucky",17.1%,1740
21055,KY,"Crittenden County, Kentucky",15.2%,1410
21057,KY,"Cumberland County, Kentucky",17.6%,1200
21059,KY,"Daviess County, Kentucky",14.5%,14180
21061,KY,"Edmonson County, Kentucky",14.7%,1780
21063,KY,"Elliott County, Kentucky",19.1%,1490
21065,KY,"Estill County, Kentucky",17.8%,2590
21067,KY,"Fayette County, Kentucky",16.6%,50600
21069,KY,"Fleming County, Kentucky",16%,2310
21071,KY,"Floyd County, Kentucky",19.4%,7570
21073,KY,"Franklin County, Kentucky",15.6%,7740
21075,KY,"Fulton County, Kentucky",21.7%,1420
21077,KY,"Gallatin County, Kentucky",14.5%,1240
21079,KY,"Garrard County, Kentucky",14.5%,2450
21081,KY,"Grant County, Kentucky",14.6%,3600
21083,KY,"Graves County, Kentucky",15.1%,5660
21085,KY,"Grayson County, Kentucky",17%,4400
21087,KY,"Green County, Kentucky",15.5%,1730
21089,KY,"Greenup County, Kentucky",15.2%,5580
21091,KY,"Hancock County, Kentucky",13.2%,1150
21093,KY,"Hardin County, Kentucky",15.8%,16970
21095,KY,"Harlan County, Kentucky",22.2%,6370
21097,KY,"Harrison County, Kentucky",16%,2980
21099,KY,"Hart County, Kentucky",16.6%,3050
21101,KY,"Henderson County, Kentucky",16.1%,7490
21103,KY,"Henry County, Kentucky",14.4%,2220
21105,KY,"Hickman County, Kentucky",14.4%,690
21107,KY,"Hopkins County, Kentucky",15.3%,7140
21109,KY,"Jackson County, Kentucky",20%,2670
21111,KY,"Jefferson County, Kentucky",17.2%,129530
21113,KY,"Jessamine County, Kentucky",14.6%,7260
21115,KY,"Johnson County, Kentucky",17.3%,4050
21117,KY,"Kenton County, Kentucky",14.1%,22760
21119,KY,"Knott County, Kentucky",18.3%,2950
21121,KY,"Knox County, Kentucky",20.8%,6640
21123,KY,"Larue County, Kentucky",14.7%,2080
21125,KY,"Laurel County, Kentucky",16.7%,9960
21127,KY,"Lawrence County, Kentucky",16.9%,2680
21129,KY,"Lee County, Kentucky",19.5%,1500
21131,KY,"Leslie County, Kentucky",19.1%,2130
21133,KY,"Letcher County, Kentucky",19%,4550
21135,KY,"Lewis County, Kentucky",18.7%,2600
21137,KY,"Lincoln County, Kentucky",17.2%,4230
21139,KY,"Livingston County, Kentucky",14%,1330
21141,KY,"Logan County, Kentucky",15.9%,4260
21143,KY,"Lyon County, Kentucky",13.9%,1170
21145,KY,"McCracken County, Kentucky",16.6%,10870
21147,KY,"McCreary County, Kentucky",21.9%,3960
21149,KY,"McLean County, Kentucky",14.2%,1350
21151,KY,"Madison County, Kentucky",16.5%,14120
21153,KY,"Magoffin County, Kentucky",20.3%,2650
21155,KY,"Marion County, Kentucky",15.4%,3070
21157,KY,"Marshall County, Kentucky",12.7%,3980
21159,KY,"Martin County, Kentucky",19.7%,2510
21161,KY,"Mason County, Kentucky",17.2%,2990
21163,KY,"Meade County, Kentucky",14.6%,4270
21165,KY,"Menifee County, Kentucky",18.2%,1150
21167,KY,"Mercer County, Kentucky",14.7%,3120
21169,KY,"Metcalfe County, Kentucky",15.1%,1520
21171,KY,"Monroe County, Kentucky",15.9%,1720
