fi_rate_11,fips,state_name,fi_rate_12,fi_rate_13,fi_rate_18,fi_rate_17,fi_rate_16,fi_rate_15,fi_rate_14,fi_rate_10,fi_rate_09
19.4974118940438,1,Alabama,18.569592057109602,18.800626101377002,17.719402985074627,17.155223880597013,18.092537313432835,18.492537313432837,18.95223880597015,19.292537313432835,20.379104477611936
14.694528156210302,2,Alaska,13.969531710344802,14.2491416507512,14.265217391304347,14.778260869565216,14.86521739130435,15.34782608695652,15.9304347826087,14.573913043478258,15.02173913043478
19.090459629418,4,Arizona,17.8471614487762,17.526118880443498,15.753333333333332,15.533333333333335,16.16,16.959999999999997,17.64,19.553333333333335,20.746666666666663
19.714232130318198,5,Arkansas,19.4304695179699,19.743033406062697,18.23866666666667,17.758666666666674,18.13866666666667,19.144,19.754666666666676,18.981333333333335,19.257333333333328
17.426682944606302,6,California,16.2443683110756,14.952682084228199,11.910344827586204,12.389655172413793,13.065517241379311,13.767241379310347,14.662068965517244,17.799999999999997,17.989655172413794
15.5429295989131,8,Colorado,14.568058875985,13.9147481563073,11.039062500000004,10.5609375,11.062499999999998,11.862500000000002,12.810937499999996,14.257812500000002,14.1265625
14.5320382080756,9,Connecticut,13.8833377386643,13.5800649596227,10.762500000000001,10.475,10.725,11.249999999999998,11.974999999999998,12.05,11.7125
13.230665777420098,10,Delaware,13.0303175690116,13.2120045498294,11.366666666666667,11.466666666666669,11.466666666666667,11.633333333333333,11.9,12.0,12.366666666666667
15.715312073217302,11,District of Columbia,14.4767784818835,14.995769194476301,10.7,11.4,11.9,12.7,13.5,16.4595096723815,15.8
18.6745489003776,12,Florida,17.850176585375603,16.9568543936795,13.944776119402986,14.641791044776118,15.507462686567168,16.226865671641796,16.4910447761194,17.788059701492543,17.60597014925373
20.0234126422155,13,Georgia,18.8971813855823,18.7325732246068,14.847798742138362,15.710691823899374,16.447798742138367,16.99308176100629,17.93962264150943,19.516981132075472,19.801257861635236
14.5547384729526,15,Hawaii,14.169227752667698,13.8128590495807,10.85,10.575,11.425,12.350000000000001,13.275,13.674999999999999,14.025
17.301741025940302,16,Idaho,15.795925120070601,15.558861039019,11.577272727272726,12.54318181818182,13.211363636363638,13.640909090909092,14.54772727272727,16.522727272727277,16.18409090909091
15.210277452649,17,Illinois,14.2429023735841,13.624915435213198,10.918627450980395,11.038235294117648,11.579411764705881,11.936274509803921,12.316666666666666,13.556862745098039,14.56176470588235
16.3265725752127,18,Indiana,15.658523795785902,15.4159961600401,12.586956521739127,11.870652173913046,12.470652173913043,12.849999999999998,13.506521739130438,14.607608695652175,16.042391304347824
12.9190098059993,19,Iowa,12.6775022721462,12.5953916883682,9.0,10.614141414141411,11.02323232323233,11.329292929292933,11.920202020202021,12.563636363636363,12.960606060606066
15.089658189254902,20,Kansas,14.7908541687963,14.4898490198714,12.293333333333326,11.83619047619048,12.109523809523806,12.235238095238094,12.846666666666668,12.995238095238099,13.351428571428574
