,time,sate,pov,fi
30,1/1/2010,Alabama,18.9,20.37910448
31,1/1/2011,Alabama,18.9,19.29253731
32,1/1/2012,Alabama,21.3,19.49741189
33,1/1/2013,Alabama,23.8,18.56959206
34,1/1/2014,Alabama,20.6,18.8006261
35,1/1/2015,Alabama,19.1,18.95223881
36,1/1/2016,Alabama,23,18.49253731
37,1/1/2017,Alabama,21.6,18.09253731
38,1/1/2018,Alabama,24.1,17.15522388
39,1/1/2019,Alabama,21.2,17.71940299
