fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
6023,3.6,"51,134",63.6
6025,18.3,"48,102",59.8
6027,3.5,"59,605",74.1
6029,7.7,"53,245",66.2
6031,7.9,"57,297",71.2
6033,5,"46,897",58.3
6035,4.6,"53,613",66.7
6037,4.4,"72,721",90.4
6039,6.9,"61,105",76
6041,2.3,"112,069",139.3
6043,4.6,"52,760",65.6
6045,4,"52,309",65
6047,8.1,"59,733",74.3
6049,7.1,"45,311",56.3
6051,3.7,"66,226",82.3
6053,6.2,"76,509",95.1
6055,2.8,"90,230",112.2
6057,3.3,"69,550",86.5
6059,2.8,"95,761",119.1
6061,3.1,"97,688",121.5
6063,7.7,"59,376",73.8
6065,4.2,"72,905",90.7
6067,3.7,"71,891",89.4
6069,5,"84,209",104.7
6071,3.8,"67,398",83.8
6073,3.2,"83,576",103.9
6075,2.2,"121,795",151.4
6077,5.9,"68,458",85.1
6079,2.9,"76,599",95.2
6081,2,"135,234",168.2
6083,3.7,"74,530",92.7
6085,2.5,"132,444",164.7
6087,4.7,"85,770",106.6
6089,4.7,"61,464",76.4
6091,5.4,"55,862",69.5
6093,6.5,"45,954",57.1
6095,3.7,"85,704",106.6
6097,2.7,"87,084",108.3
6099,6,"62,761",78
6101,7.3,"60,910",75.7
6103,5.5,"51,672",64.3
6105,5.5,"43,881",54.6
6107,9.6,"56,776",70.6
6109,4.5,"64,729",80.5
6111,3.6,"91,446",113.7
6113,4.1,"70,951",88.2
6115,6.1,"56,607",70.4
8000,2.8,"77,104",100
8001,2.9,"75,341",97.7
8003,3.6,"38,213",49.6
8005,2.7,"82,364",106.8
8007,3.2,"57,604",74.7
8009,1.7,"38,945",50.5
8011,2.9,"35,764",46.4
8013,2.4,"88,341",114.6
8014,2.4,"106,892",138.6
8015,2.4,"60,331",78.2
8017,1.6,"52,337",67.9
8019,2.5,"79,900",103.6
8021,3.6,"40,944",53.1
8023,3.9,"34,731",45
8025,4.3,"38,224",49.6
8027,3,"57,381",74.4
8029,3.3,"51,525",66.8
