fips,fi_rate_18,ch_fi_rate_18,cpm_18
5075,18.5%,23.9%,US$2.78
5077,22.1%,29.6%,US$2.85
5079,18.6%,25.2%,US$2.84
5081,18%,24.6%,US$2.92
5083,18.3%,27.4%,US$2.89
5085,14%,18.6%,US$3.10
5087,15.7%,20.4%,US$2.98
5089,18.5%,27.4%,US$3.00
5091,19.3%,26.9%,US$3.02
5093,21.6%,29.9%,US$2.83
5095,22.3%,32.9%,US$2.74
5097,18.7%,27.7%,US$2.92
5099,21.2%,30.8%,US$2.82
5101,15.7%,22.6%,US$2.90
5103,19.9%,28.2%,US$2.77
5105,17.6%,25.6%,US$3.09
5107,25.6%,35.7%,US$2.99
5109,18.2%,25.1%,US$2.93
5111,19.3%,28.1%,US$2.64
5113,19.6%,26.3%,US$2.93
5115,16.8%,22.3%,US$2.85
5117,17.2%,23.8%,US$2.93
5119,16.7%,21.8%,US$3.10
5121,17.8%,23.6%,US$2.76
5123,21.6%,29.7%,US$2.78
5125,12.9%,17.1%,US$3.17
5127,18.6%,25.4%,US$2.87
5129,18.9%,25.9%,US$2.88
5131,17.8%,23.6%,US$2.82
5133,15.7%,21.6%,US$2.93
5135,20%,29.5%,US$2.85
5137,19.7%,28.1%,US$2.95
5139,18%,25.7%,US$2.91
5141,18.8%,28.5%,US$2.96
5143,13.8%,16%,US$3.00
5145,16.7%,21.9%,US$2.84
5147,21.5%,30.4%,US$2.89
5149,16.4%,22%,US$2.77
6001,9.1%,11.1%,US$3.97
6003,14.5%,20.3%,US$3.69
6005,10.9%,17.5%,US$4.20
6007,14.2%,20.3%,US$3.37
6009,12.2%,20.3%,US$4.44
6011,13.8%,23.1%,US$3.36
6013,8.5%,11.6%,US$3.77
6015,16.7%,25.1%,US$3.49
6017,9.1%,13.4%,US$4.47
6019,15.2%,22.9%,US$3.07
6021,14.2%,20.2%,US$3.33
6023,14.1%,19.6%,US$3.32
6025,19.2%,31.4%,US$2.71
6027,10.5%,14.4%,US$3.27
6029,14.3%,21.6%,US$3.04
6031,14.4%,21.1%,US$3.07
6033,15.7%,23.1%,US$3.92
6035,12.5%,19.9%,US$3.88
6037,11.4%,15.2%,US$3.46
6039,13.2%,20.4%,US$3.97
6041,7.4%,8.4%,US$4.61
6043,13.4%,21%,US$3.22
6045,13.5%,19.4%,US$3.53
6047,15%,22.8%,US$3.25
6049,14.7%,24.2%,US$3.36
6051,8.5%,12%,US$3.25
6053,10.5%,15.2%,US$3.44
6055,7.9%,10%,US$4.38
6057,10.7%,15.9%,US$4.80
6059,8.5%,11.2%,US$3.52
6061,8.3%,11.6%,US$3.80
6063,13.6%,20.3%,US$3.48
6065,10%,14.6%,US$3.15
6067,11.9%,16.9%,US$3.33
6069,7.5%,11.7%,US$4.40
6071,10.7%,15.5%,US$3.10
6073,9.6%,12.6%,US$3.52
6075,10.2%,10.4%,US$4.79
6077,12.4%,17.9%,US$3.26
6079,9.2%,12.1%,US$3.75
6081,6.8%,7.7%,US$3.98
6083,9.5%,12.7%,US$3.44
6085,7.2%,8%,US$3.84
6087,10.3%,14%,US$4.10
6089,14.2%,21.9%,US$3.24
6091,10.5%,17.8%,US$3.61
6093,16.1%,24.7%,US$3.48
6095,10%,14.3%,US$3.32
6097,9%,11.8%,US$4.00
6099,12.4%,18.2%,US$3.30
6101,13.8%,20.8%,US$2.91
6103,15.8%,24.3%,US$3.30
6105,16.1%,25.7%,US$3.35
6107,15.9%,23.9%,US$3.10
6109,12.8%,18.7%,US$4.06
6111,8.2%,11.4%,US$3.47
6113,10.6%,13.6%,US$3.53
6115,14.4%,21.3%,US$3.11
8001,9.3%,11.7%,US$3.22
8003,14.6%,17.3%,US$3.36
8005,9.2%,11.1%,US$3.41
8007,10.6%,15%,US$3.30
8009,14.3%,20.4%,US$2.74
8011,16.5%,22%,US$3.05
8013,9%,9.5%,US$3.95
8014,7.5%,8.3%,US$3.85
8015,10.7%,14.1%,US$3.43
8017,9.7%,11.2%,US$2.99
8019,8.1%,10.8%,US$3.59
8021,13.8%,20%,US$3.37
8023,18%,25.5%,US$3.40
8025,17.9%,22.9%,US$3.30
8027,12.7%,19.8%,US$3.04
8029,14.1%,20.8%,US$3.21
8031,11%,12.6%,US$3.64
8033,13.1%,19.1%,US$3.58
8035,5.9%,7.7%,US$3.57
8037,6.2%,7.1%,US$3.55
8039,6.7%,9.9%,US$3.51
8041,10.9%,14.4%,US$3.30
8043,14%,21.2%,US$3.18
8045,8.1%,9.4%,US$3.52
8047,6.8%,10.6%,US$3.55
8049,8.9%,12%,US$3.61
8051,9.6%,9.6%,US$3.52
8053,13%,19.5%,US$3.76
8055,15%,22.7%,US$3.12
8057,10.2%,16.7%,US$3.85
8059,8.3%,10.2%,US$3.56
8061,10.5%,14.8%,US$3.06
8063,10%,13.1%,US$2.95
8065,11.6%,13%,US$3.94
8067,8.7%,10.7%,US$3.91
8069,9.5%,11.1%,US$3.49
8071,13.8%,18.3%,US$3.16
8073,11.6%,14.6%,US$3.48
8075,11.8%,16.1%,US$3.07
8077,12.6%,17.9%,US$3.19
8079,10.4%,14.4%,US$3.69
8081,11.5%,14.6%,US$3.47
8083,13.8%,21%,US$3.18
8085,12.8%,18.4%,US$3.48
8087,9.3%,11%,US$3.02
8089,16.3%,21.6%,US$3.02
8091,10.9%,13.3%,US$3.54
8093,8%,12.4%,US$3.45
8095,8.1%,8.8%,US$3.15
8097,8.2%,8.9%,US$3.66
8099,13.4%,17.1%,US$3.03
8101,14.1%,19.1%,US$3.00
8103,11%,16%,US$3.43
8105,13.6%,18.1%,US$3.43
8107,8.7%,10.2%,US$4.24
8109,13%,17.4%,US$3.43
8111,9.5%,18.5%,US$3.76
8113,9.6%,11.2%,US$3.36
8115,12.7%,18.2%,US$3.16
8117,8.4%,10%,US$4.44
8119,10%,14%,US$3.49
8121,9.9%,13.9%,US$3.33
8123,8.5%,10.9%,US$3.40
8125,11%,14%,US$3.01
9001,9.9%,12.4%,US$4.06
9003,11.7%,15.4%,US$3.43
9005,9.8%,13.5%,US$3.64
9007,9.7%,13.1%,US$3.88
9009,12.1%,16.1%,US$3.41
9011,11.8%,16.8%,US$3.55
9013,9.2%,12%,US$3.93
9015,11.9%,17%,US$3.00
10001,12.5%,19.1%,US$3.02
10003,10.7%,15.1%,US$3.43
10005,10.9%,17.9%,US$3.59
11001,10.7%,18%,US$4.33
12001,13.9%,18.2%,US$3.49
12003,13.5%,20.7%,US$3.10
12005,14.9%,22.3%,US$3.40
12007,16.3%,25.1%,US$3.02
12009,12.5%,19.3%,US$3.39
12011,11.6%,16.3%,US$3.57
12013,14%,20.4%,US$3.28
12015,13.4%,22.1%,US$3.38
12017,15.5%,27%,US$3.52
12019,11.3%,17.1%,US$3.14
12021,10.5%,16.8%,US$3.68
12023,15.2%,23.5%,US$2.92
12027,16.4%,24%,US$3.19
12029,18.1%,27.6%,US$3.05
12031,14.1%,20.6%,US$3.27
12033,13.6%,21%,US$3.24
12035,12.4%,20.1%,US$3.44
12037,16.3%,28%,US$2.98
12039,18%,29.1%,US$2.95
12041,15.1%,25.3%,US$3.31
12043,14.3%,21.8%,US$3.53
12045,14.2%,22.4%,US$3.36
12047,19.8%,29.1%,US$2.96
12049,15.2%,24.2%,US$2.92
12051,16.2%,22.8%,US$3.06
12053,13.8%,21.6%,US$3.23
12055,15.6%,25.9%,US$3.14
12057,12.3%,17%,US$3.40
12059,18.6%,28.3%,US$3.52
12061,12.6%,20.2%,US$3.78
12063,16.6%,25.2%,US$3.22
12065,13.6%,20.8%,US$3.29
12067,14.7%,20.1%,US$2.91
12069,12.4%,19.3%,US$3.32
12071,12%,18.7%,US$3.44
12073,13.7%,18.1%,US$3.48
12075,15.9%,26.3%,US$3.09
12077,14.7%,21.2%,US$3.38
12079,18.5%,29.5%,US$3.24
12081,11.9%,18.1%,US$3.47
12083,14.4%,23.9%,US$3.14
12085,11.2%,16.9%,US$3.69
12086,11.8%,16.2%,US$3.61
12087,10.9%,15.1%,US$4.48
12089,11.5%,17.9%,US$3.75
12091,12.3%,18%,US$3.47
12093,14.9%,24.2%,US$2.83
12095,12.3%,17.2%,US$3.39
12097,12.1%,17.5%,US$3.18
12099,11.6%,17.1%,US$3.70
12101,12.9%,19.2%,US$3.37
12103,12.9%,19%,US$3.50
12105,13.7%,21.1%,US$3.19
12107,17.3%,27.7%,US$3.10
12109,9.5%,13.7%,US$3.99
12111,13.3%,20.3%,US$3.18
12113,11.6%,18.3%,US$3.58
12115,11.4%,17.8%,US$3.69
12117,10.5%,15%,US$3.48
12119,12.1%,23.5%,US$3.45
12121,15.2%,24.9%,US$2.90
12123,16.4%,26%,US$2.99
12125,15.5%,25.1%,US$3.33
12127,13.6%,20.7%,US$3.51
12129,12.1%,18.5%,US$3.10
12131,13.2%,22.1%,US$3.83
12133,16.9%,25.5%,US$2.87
13001,15.7%,21.9%,US$2.88
13003,15.8%,24.4%,US$2.84
13005,16.8%,23.7%,US$2.81
13007,17.3%,20.2%,US$3.05
13009,16.7%,22.9%,US$2.82
13011,11.6%,15.2%,US$3.08
13013,10.6%,14.3%,US$3.09
13015,11.9%,15.2%,US$2.92
13017,19.7%,28.3%,US$2.96
13019,17.2%,23.3%,US$3.05
13021,17.5%,23.7%,US$2.97
13023,15.9%,22.8%,US$3.06
13025,16.5%,23.7%,US$3.20
13027,16.7%,25.6%,US$3.13
13029,11.2%,14.1%,US$3.57
13031,15.9%,20.6%,US$3.11
13033,16.8%,25.3%,US$2.79
13035,15.7%,23%,US$3.54
13037,18.3%,24%,US$3.10
13039,11.8%,16.4%,US$3.38
13043,18.6%,26.4%,US$3.03
13045,13.6%,18.4%,US$2.96
13047,10.4%,13.9%,US$3.01
13049,16.7%,23.8%,US$3.37
13051,13.2%,16.9%,US$3.35
13053,15.1%,18.4%,US$3.20
13055,15%,19.3%,US$2.98
13057,7.9%,10.1%,US$3.19
13059,16.3%,19.4%,US$3.13
13061,24.2%,36.8%,US$3.05
13063,14.9%,19.1%,US$2.74
13065,20.5%,26.1%,US$3.01
13067,9.1%,10.7%,US$3.40
13069,16%,21.6%,US$2.86
13071,15.3%,20.9%,US$3.04
13073,9%,12%,US$3.07
13075,16.2%,21.6%,US$3.11
13077,9.8%,13.3%,US$3.13
13079,14.6%,19.9%,US$3.00
13081,19.6%,26.2%,US$2.99
13083,12.8%,16.7%,US$3.15
13085,9.3%,12.6%,US$3.53
13087,17.6%,22.1%,US$2.99
13089,12.9%,16.6%,US$3.28
13091,17.3%,24%,US$2.95
13093,17.5%,25.8%,US$3.06
13095,19.6%,26.3%,US$3.02
13097,11.6%,14.4%,US$3.00
13099,17.9%,25.9%,US$3.17
13101,14.9%,16.2%,US$3.04
13103,9.4%,12.6%,US$3.10
13105,15.4%,21.9%,US$3.06
13107,18.4%,25.8%,US$2.71
13109,16.3%,21.9%,US$3.15
13111,13.8%,18.8%,US$3.15
13113,7.3%,9.4%,US$3.37
13115,14.3%,19.4%,US$2.90
13117,6%,7.6%,US$3.48
13119,16.7%,22.6%,US$3.16
13121,12.5%,14.9%,US$3.70
13123,13.5%,20.3%,US$2.95
13125,13.3%,18.7%,US$2.85
13127,14%,19.9%,US$3.48
13129,14.6%,20.9%,US$2.80
13131,16.6%,22%,US$2.87
13133,14.9%,22.4%,US$3.23
13135,9%,10.9%,US$3.00
13137,11.7%,14.8%,US$2.93
