fips,fi_rate_18,ch_fi_rate_18,cpm_18
18093,13.2%,18.6%,US$2.57
18095,15%,21.4%,US$2.75
18097,15.3%,19.7%,US$2.83
18099,11.6%,14.9%,US$2.66
18101,12.9%,17.9%,US$2.66
18103,14.7%,21.4%,US$2.52
18105,14.1%,17.3%,US$3.03
18107,11.7%,15.7%,US$2.81
18109,12%,17.2%,US$2.97
18111,13.1%,20.2%,US$2.90
18113,10.1%,13%,US$2.77
18115,10%,13%,US$2.95
18117,15.4%,21.9%,US$2.62
18119,14.6%,22.7%,US$3.23
18121,14%,20.7%,US$2.70
18123,12.8%,19.7%,US$2.66
18125,12.4%,18.7%,US$2.82
18127,10.6%,14.1%,US$3.12
18129,10.6%,14.1%,US$3.06
18131,13.3%,18.9%,US$2.68
18133,12.7%,18.5%,US$2.63
18135,14%,20.5%,US$2.46
18137,11.9%,17%,US$2.68
18139,13.7%,19%,US$2.77
18141,13.4%,18%,US$2.93
18143,14.5%,21%,US$2.73
18145,11.6%,16.1%,US$2.64
18147,11%,16%,US$2.91
18149,13.4%,18.6%,US$2.62
18151,11.5%,16.7%,US$2.72
18153,14.3%,19.5%,US$2.93
18155,15.6%,22.4%,US$2.84
18157,13.1%,15.2%,US$2.92
18159,11.1%,15.7%,US$3.03
18161,11.7%,14.8%,US$2.98
18163,14.5%,19.9%,US$2.82
18165,15.4%,23%,US$2.71
18167,15.9%,21.4%,US$2.70
18169,12.5%,18.2%,US$2.88
18171,11.5%,17.6%,US$2.88
18173,9.8%,12.8%,US$2.94
18175,13.5%,18.9%,US$2.52
18177,15%,20.9%,US$2.75
18179,10.6%,14.8%,US$2.77
18181,11.1%,15.1%,US$2.90
18183,10.6%,16.3%,US$2.60
19001,9.3%,14.6%,US$3.12
19003,9.1%,12.3%,US$2.93
19005,8.4%,13%,US$2.92
19007,12.5%,20.2%,US$2.57
19009,8.7%,14.8%,US$2.96
19011,7.9%,12.7%,US$3.26
19013,10.2%,15.1%,US$2.85
19015,8.2%,11.7%,US$3.03
19017,6.6%,10.6%,US$3.09
19019,8.1%,13.1%,US$2.97
19021,8.3%,12.3%,US$2.91
19023,8.2%,13.4%,US$2.92
19025,9.4%,15.1%,US$2.85
19027,7.8%,10.8%,US$2.98
19029,9.8%,14.7%,US$2.86
19031,6.9%,10.7%,US$2.93
19033,9.7%,13.9%,US$2.94
19035,9%,13.6%,US$2.99
19037,8%,12.2%,US$2.93
19039,10.2%,15.1%,US$3.09
19041,10.6%,16.5%,US$3.09
19043,9.1%,14%,US$2.90
19045,10%,15.1%,US$2.72
19047,10.3%,13.7%,US$2.92
19049,5.6%,7.3%,US$3.18
19051,8.9%,14.4%,US$2.62
19053,12.3%,17.8%,US$2.81
19055,7.4%,12.6%,US$2.90
19057,11.5%,18.6%,US$2.74
19059,8.6%,14%,US$3.03
19061,8.8%,13.2%,US$2.97
19063,9.4%,13.9%,US$3.20
19065,9.9%,15.8%,US$2.90
19067,11.4%,19.7%,US$3.03
19069,8.3%,13.1%,US$3.02
19071,8.4%,13.1%,US$2.97
19073,9.2%,12.9%,US$3.08
19075,6.7%,10.7%,US$2.87
19077,9.2%,14.3%,US$3.10
19079,8.6%,12.7%,US$2.98
19081,7.9%,11.7%,US$3.03
19083,7.9%,12.3%,US$2.92
19085,8.8%,12.8%,US$3.00
19087,9.4%,15.2%,US$2.68
19089,8.9%,13.7%,US$3.00
19091,9.5%,14.7%,US$2.91
19093,9%,12.7%,US$2.95
19095,7.7%,11.7%,US$3.01
19097,9.3%,14.7%,US$2.90
19099,9.3%,13.3%,US$3.00
19101,10.5%,12.5%,US$2.70
19103,8.2%,10%,US$3.10
19105,8.9%,13.9%,US$2.94
19107,9.6%,14.8%,US$2.96
19109,9%,13.6%,US$3.21
19111,11.9%,19.6%,US$2.55
19113,8.1%,12.3%,US$2.95
19115,8.3%,12.6%,US$2.93
19117,10.1%,14.8%,US$2.85
19119,5.7%,9.4%,US$2.93
19121,8%,11.7%,US$3.10
19123,10.2%,15.4%,US$2.86
19125,9%,12.9%,US$3.00
19127,9.2%,13.7%,US$2.68
19129,8.4%,12.2%,US$3.00
19131,7.9%,13.1%,US$2.96
19133,11.5%,17.2%,US$2.93
19135,9.4%,13.7%,US$2.70
19137,11.3%,18.9%,US$2.86
19139,7.8%,11.9%,US$2.66
19141,8.6%,12.9%,US$3.00
19143,8.7%,14.5%,US$3.02
19145,10.1%,15.6%,US$3.03
19147,8.1%,12.6%,US$3.11
19149,7.5%,12.5%,US$3.06
19151,9.4%,13.9%,US$2.89
19153,8.8%,12.6%,US$3.09
19155,9.4%,13.9%,US$2.82
19157,8.1%,11.3%,US$2.82
19159,9.3%,13%,US$2.78
19161,8.1%,13.2%,US$2.93
19163,9.2%,13.7%,US$2.97
19165,8.2%,12.9%,US$2.87
19167,5.9%,8.8%,US$3.01
19169,8.2%,9.3%,US$3.09
19171,8.9%,14.6%,US$2.86
19173,8.9%,12.6%,US$2.94
19175,11.7%,16.9%,US$2.91
19177,9.8%,17%,US$2.61
19179,11%,16.6%,US$2.56
19181,7.1%,10.9%,US$3.17
19183,8.1%,12.4%,US$2.88
19185,10.8%,18.6%,US$2.63
19187,11.2%,16.6%,US$2.69
19189,9%,13.8%,US$3.06
19191,7.6%,12.4%,US$3.09
19193,9.5%,13.6%,US$2.97
19195,9%,14.4%,US$2.95
19197,9.6%,15.6%,US$2.92
20001,15.2%,24%,US$3.06
20003,13.1%,21.8%,US$3.26
20005,14.9%,23.8%,US$3.15
20007,13.6%,21.1%,US$3.15
20009,13.6%,21.2%,US$2.91
20011,15.9%,25.4%,US$2.96
20013,13.3%,22.7%,US$2.98
20015,11.3%,18.3%,US$3.18
20017,12.3%,19.9%,US$3.02
20019,15.9%,26.8%,US$3.04
20021,15%,24.2%,US$3.04
20023,11%,16.6%,US$3.16
20025,11.5%,18.5%,US$2.85
20027,11.1%,17.1%,US$3.04
20029,12.6%,19.5%,US$3.12
20031,13.3%,22.3%,US$2.95
20033,9.4%,14.9%,US$3.10
20035,14.2%,21.7%,US$2.88
20037,15.7%,22.8%,US$2.78
20039,15%,26%,US$3.17
20041,13.7%,20.6%,US$3.10
20043,13.8%,22.8%,US$2.98
20045,12.8%,16.4%,US$3.36
20047,10%,14.4%,US$2.91
20049,15.4%,23.4%,US$3.08
20051,11.8%,16.2%,US$3.04
20053,12.5%,19.2%,US$2.89
20055,10.6%,14.9%,US$2.73
20057,9.9%,14.8%,US$2.86
20059,12%,19.5%,US$3.21
20061,14.7%,20.6%,US$3.13
20063,11.9%,18%,US$3.22
20065,12.4%,19.3%,US$3.08
20067,8%,11.5%,US$2.72
20069,8.6%,13.3%,US$2.77
20071,11.7%,17.3%,US$3.29
20073,14.2%,22%,US$3.01
20075,10.1%,15.8%,US$2.81
20077,13.7%,20.7%,US$2.94
20079,12%,18.5%,US$3.08
20081,9.1%,14.2%,US$2.75
20083,11.2%,18.5%,US$2.78
20085,12.2%,18.9%,US$3.08
20087,10.7%,18.3%,US$3.28
20089,13.8%,22.8%,US$3.13
20091,9%,13.3%,US$3.42
20093,12.5%,18.4%,US$2.75
20095,10.7%,17.8%,US$2.97
20097,11.1%,16.3%,US$2.91
20099,15.7%,25.3%,US$3.08
20101,12.8%,19.9%,US$2.76
20103,11.9%,18.4%,US$3.05
20105,11.4%,18.7%,US$2.84
20107,16.1%,25.2%,US$3.12
20109,10.7%,15.1%,US$3.11
20111,12.5%,17.8%,US$2.82
20113,11.1%,16.9%,US$3.17
20115,11.6%,17.8%,US$2.95
20117,11.4%,18.6%,US$3.19
20119,10.4%,16.7%,US$2.78
20121,10.8%,17.5%,US$3.48
20123,13%,20.8%,US$3.13
20125,15.7%,25.2%,US$3.07
20127,11.8%,19.1%,US$3.11
20129,11%,15.6%,US$2.92
20131,11.1%,16.9%,US$3.05
20133,15.9%,26.1%,US$2.96
20135,10.4%,16.3%,US$2.84
20137,11.8%,19.3%,US$3.25
20139,13.4%,21.5%,US$3.07
20141,13.2%,20.8%,US$3.11
20143,11.2%,18.7%,US$2.87
20145,12.3%,18.3%,US$3.00
20147,11.4%,19.3%,US$3.38
20149,10.1%,15.6%,US$2.96
20151,11.3%,17.2%,US$2.90
20153,11.9%,16.5%,US$3.10
20155,13.1%,20%,US$2.85
20157,11.8%,18.9%,US$3.13
20159,13.3%,22.1%,US$2.89
20161,12.9%,16.6%,US$3.82
20163,11.3%,17.1%,US$3.07
20165,12%,16.8%,US$2.98
20167,11.2%,16.7%,US$3.05
20169,12.5%,18.7%,US$2.80
20171,6.7%,9.8%,US$2.80
20173,13%,19.2%,US$2.96
20175,10.1%,14.6%,US$2.82
20177,12.6%,18.4%,US$2.96
20179,10%,15.4%,US$3.17
20181,14.8%,22.6%,US$3.16
20183,12.9%,23.1%,US$3.30
20185,12.1%,18.4%,US$2.89
20187,11.4%,17.2%,US$2.82
20189,11.6%,18.8%,US$2.91
20191,12.6%,19.4%,US$2.99
20193,11.3%,15.2%,US$3.05
20195,10.3%,17.5%,US$3.10
20197,10.1%,17%,US$3.03
20199,12.4%,20.6%,US$3.12
20201,12.1%,21.2%,US$3.39
20203,9.9%,13.6%,US$2.80
20205,15.6%,24.7%,US$3.03
20207,17.7%,27.4%,US$2.91
20209,15.6%,22.9%,US$3.00
21001,16.1%,21.4%,US$2.64
21003,15.1%,20%,US$3.01
21005,12.4%,16.2%,US$2.80
21007,14.9%,22%,US$2.70
21009,17.2%,23.4%,US$2.67
21011,17.9%,24.6%,US$2.78
21013,24.7%,32.9%,US$2.82
21015,8.8%,10.5%,US$2.97
21017,13.9%,17.8%,US$2.86
21019,16.6%,23%,US$2.66
21021,13.6%,16.2%,US$2.56
21023,13.8%,17.5%,US$2.97
21025,24.6%,34.5%,US$2.85
21027,15.3%,19.9%,US$2.84
21029,11.1%,14.3%,US$2.93
21031,16%,21.5%,US$2.71
21033,15%,20.6%,US$2.77
21035,14.8%,18.4%,US$3.05
21037,11.3%,13%,US$3.08
21039,14%,19.4%,US$2.68
21041,16.2%,23.1%,US$2.64
21043,19.5%,28%,US$3.02
21045,18%,24%,US$2.59
21047,16.8%,19.8%,US$2.78
21049,14.1%,18.2%,US$2.86
21051,24.4%,33.5%,US$2.62
21053,16.9%,21.8%,US$2.69
21055,14.6%,20.5%,US$2.70
21057,15.3%,16.7%,US$2.71
21059,13.4%,17.1%,US$2.61
21061,16.7%,21.6%,US$2.72
21063,22%,32.2%,US$2.76
21065,21.3%,28.7%,US$2.75
21067,12.7%,14.2%,US$3.07
21069,16.4%,22.5%,US$2.71
21071,22.1%,31.7%,US$3.04
21073,12.5%,15.9%,US$2.97
21075,20.5%,29.4%,US$2.64
21077,12.7%,16.5%,US$2.91
21079,13.8%,19.8%,US$2.73
21081,14.5%,20.7%,US$2.46
21083,14.5%,18.4%,US$2.59
21085,17.5%,24.2%,US$2.54
21087,16.3%,21.2%,US$2.64
21089,15.1%,21.9%,US$3.09
21091,12.2%,17.5%,US$2.69
21093,13.4%,16.8%,US$2.65
21095,24.8%,34.4%,US$2.83
21097,14%,18.1%,US$3.02
21099,16.2%,20.5%,US$2.63
21101,15.8%,19.3%,US$2.61
21103,14.9%,20.1%,US$2.84
21105,15.6%,20.6%,US$2.71
21107,14.7%,19.2%,US$2.76
21109,21.6%,29.7%,US$2.65
21111,13.1%,16.1%,US$2.95
21113,13.7%,17.3%,US$2.92
21115,19.2%,24.3%,US$2.79
21117,11.8%,14.2%,US$3.01
21119,23.1%,34.2%,US$2.88
21121,20%,27.3%,US$2.63
21123,14.2%,18.6%,US$2.66
21125,16.9%,23.8%,US$2.55
21127,19.6%,27%,US$2.79
21129,23.2%,31.8%,US$2.75
21131,23.7%,31.4%,US$2.81
21133,22.4%,31.6%,US$2.92
21135,20.3%,28.6%,US$2.73
21137,16.9%,22.2%,US$2.64
21139,15.4%,21.4%,US$2.71
21141,13.9%,17.7%,US$2.70
21143,14.6%,21.6%,US$2.76
21145,14.4%,18.7%,US$2.69
21147,23.3%,30.7%,US$2.63
21149,14.1%,19.8%,US$2.63
21151,14.2%,16.3%,US$2.72
21153,24.7%,36.6%,US$2.85
21155,16.6%,22.7%,US$2.65
21157,12.8%,16.7%,US$2.88
21159,21%,25.5%,US$2.81
21161,15.7%,20.6%,US$2.78
21163,12.6%,16%,US$2.91
21165,17.8%,28.7%,US$2.73
21167,14.2%,17.5%,US$2.70
21169,17%,23.5%,US$2.65
21171,17.2%,23.9%,US$2.75
21173,17%,22.2%,US$2.71
21175,19.2%,27.4%,US$2.75
21177,16.3%,22%,US$2.63
21179,12.1%,15.2%,US$2.87
21181,18.3%,27.9%,US$2.75
21183,16.1%,24.6%,US$2.53
21185,6.9%,7.7%,US$2.98
21187,14.8%,19.4%,US$2.86
21189,23.7%,28.9%,US$2.84
21191,14.1%,19%,US$2.99
21193,20.8%,28%,US$2.87
21195,19.6%,27.6%,US$2.87
21197,18.1%,24%,US$2.78
21199,17.1%,21.7%,US$2.55
21201,16.4%,29%,US$2.67
21203,16.9%,22.7%,US$2.61
21205,17%,22.2%,US$2.75
21207,17.2%,22.6%,US$2.59
21209,11%,13.5%,US$3.06
21211,11.5%,13.9%,US$2.94
21213,12.7%,17.2%,US$3.03
21215,9.4%,11.4%,US$2.94
21217,17.5%,23.4%,US$2.58
21219,13.8%,16.5%,US$2.86
21221,12.1%,15.9%,US$2.89
21223,15.2%,21%,US$2.76
21225,16.3%,19.1%,US$2.76
21227,13.5%,16.2%,US$2.76
21229,13.5%,16.1%,US$2.67
21231,18.7%,25.5%,US$2.66
21233,16.7%,23.2%,US$2.69
21235,18.3%,23.6%,US$2.70
21237,24.4%,32.6%,US$2.76
21239,11.6%,16.2%,US$3.18
22001,17.5%,27.4%,US$3.04
22003,15.8%,24.5%,US$2.79
22005,10.9%,17.1%,US$3.38
22007,16.5%,27%,US$2.96
22009,18%,27.2%,US$3.06
22011,15.2%,22.6%,US$3.15
22013,20%,31.3%,US$3.11
22015,13.4%,20.3%,US$3.14
22017,17.4%,27%,US$3.15
22019,13.9%,21.9%,US$3.23
22021,17.3%,26.6%,US$3.04
22023,10.3%,16.9%,US$2.87
22025,16.6%,27.1%,US$3.02
22027,20%,30.4%,US$3.07
22029,18.8%,29.1%,US$3.14
22031,17.7%,28.1%,US$3.04
22033,14.4%,21.6%,US$3.42
22035,28.2%,43.7%,US$3.06
22037,14.6%,23%,US$3.35
22039,20.6%,31.1%,US$3.18
22041,19.5%,31.8%,US$2.90
22043,16.5%,24.4%,US$3.11
22045,16.8%,26.5%,US$2.99
22047,16.4%,27.1%,US$3.13
22049,18.9%,30.2%,US$3.06
22051,13.4%,20.9%,US$3.34
22053,15.5%,23.3%,US$3.17
22055,13.3%,19.8%,US$3.16
22057,13.7%,21.8%,US$3.14
22059,15.4%,22.3%,US$2.87
22061,17.7%,25.1%,US$3.26
22063,11.1%,17.7%,US$3.13
22065,23.1%,35.5%,US$2.98
22067,20.3%,31.8%,US$2.86
22069,20.1%,28.8%,US$3.07
22071,18%,25.9%,US$3.67
22073,16.8%,25.9%,US$3.12
22075,14.5%,20.9%,US$3.18
22077,16.7%,25.4%,US$3.21
22079,16.3%,24%,US$2.83
22081,16.6%,26.4%,US$3.14
22083,18.9%,30.4%,US$3.08
22085,15.5%,22.9%,US$3.07
22087,15%,22.3%,US$3.34
22089,10.9%,17.8%,US$3.61
22091,17.6%,27.7%,US$3.33
22093,14.9%,25.1%,US$3.59
22095,14.9%,23.5%,US$3.46
22097,18.2%,29%,US$3.06
22099,14.2%,23.7%,US$3.19
22101,16.8%,24.7%,US$2.99
22103,11.1%,17.7%,US$3.52
22105,17.1%,27%,US$3.19
22107,22.5%,35%,US$3.04
22109,15.9%,24.1%,US$3.01
22111,14.6%,26.4%,US$3.08
22113,14.6%,22.2%,US$3.12
22115,16.4%,24.4%,US$3.20
22117,19.7%,29.9%,US$3.23
22119,18.2%,29.5%,US$3.07
22121,13.6%,21.4%,US$3.46
22123,17.9%,29.7%,US$2.96
22125,13.2%,22.6%,US$3.30
22127,18.9%,28.5%,US$2.94
23001,13.5%,19.9%,US$3.67
23003,16.4%,25%,US$3.57
23005,10.7%,14.8%,US$4.10
23007,12.5%,20.5%,US$3.65
23009,12.4%,19.2%,US$3.99
23011,13.1%,20.3%,US$3.62
23013,11.8%,18.7%,US$4.04
23015,12.5%,20.2%,US$4.23
23017,14.3%,24.2%,US$3.51
23019,14.3%,21.7%,US$3.56
23021,17.5%,26.8%,US$3.81
23023,10.5%,17.1%,US$4.32
23025,16.6%,26.2%,US$3.37
23027,13%,20.7%,US$4.06
23029,16.3%,25.7%,US$3.54
23031,10.9%,16.1%,US$3.93
24001,15.1%,24.7%,US$2.83
24003,8.5%,12.9%,US$3.44
24005,11%,16.1%,US$3.18
24009,8%,12.6%,US$3.93
24011,12.8%,20.8%,US$3.12
24013,8.1%,13.3%,US$3.41
24015,11%,17.8%,US$3.07
24017,8.9%,13.7%,US$3.30
24019,14.8%,24.5%,US$3.04
24021,8.9%,13.7%,US$3.31
24023,12.2%,19.9%,US$3.02
24025,9.3%,15%,US$3.36
24027,7.4%,10.8%,US$3.74
24029,12.3%,21.1%,US$3.32
24031,8%,11.1%,US$3.87
24033,10.3%,14.3%,US$3.26
24035,8%,13.1%,US$4.04
24037,10.3%,15.9%,US$3.31
24039,16.6%,27.9%,US$3.10
24041,11%,17.2%,US$3.33
24043,13.1%,20.4%,US$3.04
24045,13.3%,20.4%,US$3.09
24047,13.3%,22.3%,US$3.43
24510,18%,25.8%,US$3.51
25001,7.6%,11%,US$4.39
25003,9.9%,13.8%,US$3.68
25005,9.9%,13%,US$3.55
25007,7.3%,10.3%,US$3.82
25009,8%,9.3%,US$3.81
25011,8.9%,11.6%,US$3.80
25013,11.6%,15.4%,US$3.36
25015,8.2%,9.3%,US$4.05
25017,6.6%,6.1%,US$4.08
25019,7.3%,10.5%,US$3.80
25021,6.2%,6.1%,US$3.93
25023,7%,9.1%,US$3.83
25025,11.9%,13.3%,US$4.32
25027,8.3%,9.8%,US$3.63
26001,15.9%,20.8%,US$2.94
26003,14.2%,17.7%,US$3.05
26005,9.7%,9.4%,US$2.86
26007,14.1%,16.3%,US$3.04
26009,12.6%,15.9%,US$3.49
26011,16.5%,22.5%,US$2.85
26013,14.8%,19.3%,US$3.29
26015,9.8%,9.9%,US$2.62
26017,13.6%,16.7%,US$2.82
26019,11.6%,13.7%,US$3.00
26021,14%,15.5%,US$2.98
26023,12.8%,15.1%,US$2.61
26025,14.3%,16.3%,US$2.93
26027,12.5%,14.5%,US$3.30
26029,11.7%,13.4%,US$3.71
26031,16.2%,22.9%,US$2.99
26033,16.2%,20.8%,US$2.99
26035,18.1%,25%,US$3.26
26037,9.5%,8.7%,US$3.17
26039,15.1%,18.3%,US$2.87
26041,13.8%,16%,US$2.78
26043,13.1%,13.9%,US$3.36
26045,11.7%,12.6%,US$2.96
26047,12.1%,13%,US$2.98
26049,15.7%,18.9%,US$2.92
26051,15.8%,21%,US$3.14
26053,14.6%,18.7%,US$3.04
26055,10.8%,10.9%,US$3.06
26057,14.4%,15.3%,US$2.79
26059,13.1%,15.2%,US$2.75
26061,13.9%,13.5%,US$3.24
26063,12.8%,15.9%,US$2.72
26065,13.8%,13.7%,US$3.07
26067,11.3%,11.4%,US$2.69
26069,16.1%,21.4%,US$2.97
26071,13.9%,17.6%,US$3.05
26073,13.9%,13.4%,US$2.77
26075,13%,15.1%,US$2.83
26077,12.5%,11.8%,US$2.97
26079,15.2%,18.3%,US$2.97
26081,11%,9.9%,US$3.06
26083,12.6%,17.9%,US$3.24
26085,19%,26.6%,US$2.74
26087,11.4%,12.7%,US$2.87
26089,9.1%,9.5%,US$6.96
26091,12%,13.1%,US$2.81
26093,8.1%,7.2%,US$3.16
26095,16%,21.4%,US$3.06
26097,16.9%,21.6%,US$2.95
26099,11.9%,12.6%,US$3.02
26101,13.7%,16.6%,US$3.21
26103,13.3%,14%,US$3.35
26105,13.5%,16.9%,US$2.69
26107,14.4%,17.4%,US$2.69
26109,13.1%,15.3%,US$3.10
26111,11.3%,11.3%,US$2.96
26113,14.2%,17.4%,US$2.99
26115,11.2%,11.9%,US$3.00
26117,13.9%,16.6%,US$2.91
26119,17.1%,26.8%,US$2.92
26121,14.1%,16.2%,US$2.78
26123,14.3%,17%,US$2.68
26125,10.1%,8.2%,US$3.20
26127,14.3%,16.8%,US$3.25
26129,16.6%,21.6%,US$2.74
26131,15.2%,20.6%,US$3.07
26133,15%,19.5%,US$2.56
26135,16.5%,20.8%,US$2.89
26137,13.9%,17.3%,US$2.73
26139,8.4%,6.7%,US$3.05
26141,15.3%,20.8%,US$2.92
26143,18%,25.3%,US$2.94
26145,14.5%,16.1%,US$2.81
26147,13.1%,15.4%,US$2.89
26149,12.9%,15.1%,US$2.69
26151,14.2%,17%,US$2.77
26153,17.5%,22.6%,US$2.88
26155,12.1%,13.5%,US$2.71
26157,14.4%,18%,US$2.77
26159,13.1%,14.9%,US$2.77
26161,10.7%,7.6%,US$3.39
26163,17.3%,20%,US$3.00
26165,13.9%,17%,US$2.71
27001,11.5%,20.5%,US$3.05
27003,6.1%,10.8%,US$3.09
27005,9.2%,15.9%,US$3.28
27007,11.7%,19.1%,US$3.08
27009,9.7%,15.2%,US$3.67
27011,10.2%,15.6%,US$3.42
27013,8.6%,12.1%,US$3.05
27015,7.3%,12.7%,US$2.76
27017,9.2%,15.5%,US$3.25
27019,4.3%,7%,US$3.83
27021,11.1%,21%,US$3.31
27023,8.9%,14.5%,US$2.94
27025,6.3%,11.4%,US$4.48
27027,7.8%,12.1%,US$3.08
27029,13.9%,24.2%,US$3.18
27031,9.9%,16.3%,US$3.13
27033,9.6%,15.2%,US$2.95
27035,9.4%,15.8%,US$3.07
27037,5.9%,9.6%,US$3.35
27039,5.5%,10.2%,US$3.57
27041,7.8%,12.8%,US$2.91
27043,8.8%,15.7%,US$3.02
27045,8.2%,15%,US$3.37
27047,9.2%,15.8%,US$3.24
27049,7.8%,12.6%,US$2.94
27051,9.2%,16.6%,US$2.87
27053,8.1%,11.4%,US$3.61
27055,7.2%,12.1%,US$3.24
27057,9.8%,18.2%,US$3.26
27059,7.6%,13%,US$2.97
27061,11%,19.4%,US$2.70
27063,6.9%,12.2%,US$3.05
27065,10.5%,18.9%,US$3.17
27067,7.9%,13.2%,US$2.86
27069,8%,13.8%,US$3.16
27071,13%,22.8%,US$3.06
27073,8.5%,13.5%,US$3.18
27075,8.3%,15.1%,US$3.13
27077,7.8%,15.1%,US$3.11
27079,7.6%,13.6%,US$4.05
27081,8.5%,13.8%,US$3.23
27083,8.8%,13.8%,US$3.14
27085,7.6%,13%,US$2.95
27087,13.3%,21.9%,US$3.16
27089,8.6%,15%,US$3.13
27091,9.8%,16.1%,US$3.04
27093,7.4%,12.5%,US$3.21
27095,10.6%,18%,US$3.14
27097,9.5%,15.7%,US$2.77
27099,8.9%,13.2%,US$2.75
27101,7.7%,13.2%,US$3.02
27103,7.5%,10.6%,US$3.80
27105,8.4%,13.4%,US$2.83
27107,8.7%,15.1%,US$3.22
27109,7%,11.1%,US$3.12
27111,8.4%,14.2%,US$2.69
27113,8.6%,15.3%,US$3.13
27115,11%,18.2%,US$3.11
27117,9.1%,14.1%,US$2.97
27119,9.5%,15.8%,US$3.25
27121,7.7%,12.6%,US$3.03
27123,10%,15.4%,US$3.38
27125,8.9%,16.1%,US$3.18
27127,8.6%,15.4%,US$2.97
27129,8.1%,14.2%,US$2.97
27131,7.5%,12.7%,US$2.91
27133,7.6%,11.5%,US$2.92
27135,7.9%,14.5%,US$3.13
27137,10.3%,16.5%,US$3.18
27139,4.9%,8.7%,US$3.24
27141,6%,11.4%,US$3.24
27143,6.7%,11.2%,US$3.23
27145,8.6%,14%,US$3.10
27147,7.9%,13.1%,US$2.92
27149,7.5%,11.3%,US$2.96
27151,10.3%,17.1%,US$2.94
27153,9.6%,17.2%,US$3.29
27155,9.7%,15.8%,US$3.21
27157,6.8%,10.8%,US$3.70
27159,12%,20.4%,US$2.99
27161,8.2%,13.4%,US$3.02
27163,5.1%,8.7%,US$3.27
27165,8.5%,14.1%,US$3.03
27167,8.6%,14.2%,US$3.18
27169,8.3%,12.5%,US$3.50
27171,5.4%,9.4%,US$3.44
27173,9.3%,15%,US$3.15
28001,22.7%,31.3%,US$3.05
28003,16.8%,19.3%,US$2.73
28005,19.3%,24.6%,US$3.15
28007,20.2%,24.7%,US$3.17
28009,18.6%,20.5%,US$2.99
28011,24.1%,28.8%,US$3.04
28013,19.5%,25.4%,US$3.10
28015,16.5%,19.5%,US$3.05
28017,18%,21.5%,US$3.01
28019,19.9%,26.8%,US$3.22
28021,27.1%,37%,US$3.15
28023,18.5%,24.6%,US$2.98
28025,17.8%,23.7%,US$3.20
28027,23.9%,29.2%,US$3.10
28029,18.2%,23.7%,US$2.91
28031,18.5%,23.8%,US$3.06
28033,12.1%,12.4%,US$2.96
28035,20.2%,22.5%,US$3.34
28037,16.5%,20.3%,US$3.00
28039,16.4%,20.1%,US$2.95
28041,16.5%,19.7%,US$3.17
28043,19.4%,25.3%,US$3.20
28045,17%,20.8%,US$3.27
28047,17.7%,20.9%,US$3.20
28049,18%,21%,US$3.26
28051,27.8%,34.4%,US$3.25
28053,26.4%,35.1%,US$3.03
28055,28.9%,41.1%,US$3.11
28057,15.9%,18.4%,US$2.99
28059,16.3%,19.6%,US$3.34
28061,18.7%,26.4%,US$2.94
28063,30.4%,40%,US$3.02
28065,20.9%,26.2%,US$3.00
28067,17.5%,21.6%,US$3.06
28069,22.1%,30.2%,US$3.06
28071,15.2%,15.6%,US$3.76
28073,14.8%,16.3%,US$3.11
28075,19%,23%,US$3.01
28077,17.4%,21.6%,US$2.92
28079,20.5%,25.3%,US$2.87
28081,15.7%,17.7%,US$2.84
28083,24.2%,29.2%,US$3.02
28085,17.7%,21.1%,US$3.07
28087,17.8%,21%,US$3.25
28089,12.2%,12.6%,US$3.37
28091,20.4%,25.8%,US$2.97
28093,16%,20.8%,US$2.68
28095,16.3%,20.2%,US$3.03
28097,21.3%,31%,US$3.07
28099,19.3%,23.4%,US$3.01
28101,19.4%,25%,US$2.72
28103,22%,27.4%,US$3.20
28105,17.7%,17.9%,US$3.31
28107,18.5%,23.4%,US$3.16
28109,16.1%,19.3%,US$3.15
28111,18.9%,24.4%,US$3.09
28113,22.6%,28%,US$2.95
28115,16.7%,21.6%,US$3.01
28117,19%,25.1%,US$2.92
28119,25.2%,32.6%,US$3.05
28121,11.7%,11.8%,US$3.14
28123,20.3%,25.1%,US$2.74
28125,22.1%,24.9%,US$3.11
28127,18.5%,24%,US$2.90
28129,15.8%,20%,US$3.03
28131,16.6%,21.5%,US$3.31
28133,23.4%,28.4%,US$2.90
28135,20.4%,26.9%,US$3.04
28137,16.4%,21.4%,US$3.06
28139,17.2%,21.3%,US$3.07
28141,17.4%,20.4%,US$2.91
28143,19.8%,20.5%,US$3.10
28145,15.7%,17.8%,US$3.05
28147,21%,26.8%,US$3.01
28149,18.2%,21.7%,US$3.20
28151,24.5%,30.5%,US$3.12
28153,19.3%,23.7%,US$3.10
28155,19.6%,27.8%,US$3.19
28157,24.8%,33.9%,US$3.12
28159,19.3%,25.8%,US$3.14
28161,16.3%,19.1%,US$3.33
28163,23.1%,28.1%,US$3.13
29001,14.3%,14.9%,US$2.68
29003,10.4%,10.8%,US$2.86
29005,12.1%,13.7%,US$3.14
29007,13.7%,15.8%,US$2.63
29009,14.9%,19.3%,US$2.97
29011,15.6%,19.1%,US$2.77
29013,12.9%,15.8%,US$2.93
29015,16.5%,23.9%,US$2.88
29017,15.2%,19.4%,US$2.89
29019,12.1%,11.6%,US$3.10
29021,14%,17.2%,US$2.80
