,Year,State,fi
83,1/1/2012,District of Columbia,15.71531207
84,1/1/2013,District of Columbia,14.47677848
85,1/1/2014,District of Columbia,14.99576919
86,1/1/2015,District of Columbia,13.5
87,1/1/2016,District of Columbia,12.7
88,1/1/2017,District of Columbia,11.9
89,1/1/2018,District of Columbia,11.4
90,1/1/2019,District of Columbia,10.7
91,1/1/2010,Florida,17.60597015
92,1/1/2011,Florida,17.7880597
93,1/1/2012,Florida,18.6745489
94,1/1/2013,Florida,17.85017659
95,1/1/2014,Florida,16.95685439
96,1/1/2015,Florida,16.49104478
97,1/1/2016,Florida,16.22686567
98,1/1/2017,Florida,15.50746269
99,1/1/2018,Florida,14.64179104
100,1/1/2019,Florida,13.94477612
101,1/1/2010,Georgia,19.80125786
102,1/1/2011,Georgia,19.51698113
103,1/1/2012,Georgia,20.02341264
104,1/1/2013,Georgia,18.89718139
105,1/1/2014,Georgia,18.73257322
106,1/1/2015,Georgia,17.93962264
107,1/1/2016,Georgia,16.99308176
108,1/1/2017,Georgia,16.44779874
109,1/1/2018,Georgia,15.71069182
110,1/1/2019,Georgia,14.84779874
111,1/1/2010,Hawaii,14.025
112,1/1/2011,Hawaii,13.675
113,1/1/2012,Hawaii,14.55473847
114,1/1/2013,Hawaii,14.16922775
115,1/1/2014,Hawaii,13.81285905
116,1/1/2015,Hawaii,13.275
117,1/1/2016,Hawaii,12.35
118,1/1/2017,Hawaii,11.425
119,1/1/2018,Hawaii,10.575
120,1/1/2019,Hawaii,10.85
121,1/1/2010,Idaho,16.18409091
122,1/1/2011,Idaho,16.52272727
123,1/1/2012,Idaho,17.30174103
124,1/1/2013,Idaho,15.79592512
125,1/1/2014,Idaho,15.55886104
126,1/1/2015,Idaho,14.54772727
127,1/1/2016,Idaho,13.64090909
128,1/1/2017,Idaho,13.21136364
129,1/1/2018,Idaho,12.54318182
130,1/1/2019,Idaho,11.57727273
131,1/1/2010,Illinois,14.56176471
132,1/1/2011,Illinois,13.55686275
133,1/1/2012,Illinois,15.21027745
134,1/1/2013,Illinois,14.24290237
135,1/1/2014,Illinois,13.62491544
136,1/1/2015,Illinois,12.31666667
137,1/1/2016,Illinois,11.93627451
138,1/1/2017,Illinois,11.57941176
139,1/1/2018,Illinois,11.03823529
140,1/1/2019,Illinois,10.91862745
141,1/1/2010,Indiana,16.0423913
142,1/1/2011,Indiana,14.6076087
143,1/1/2012,Indiana,16.32657258
144,1/1/2013,Indiana,15.6585238
145,1/1/2014,Indiana,15.41599616
146,1/1/2015,Indiana,13.50652174
147,1/1/2016,Indiana,12.85
148,1/1/2017,Indiana,12.47065217
149,1/1/2018,Indiana,11.87065217
150,1/1/2019,Indiana,12.58695652
151,1/1/2010,Iowa,12.96060606
152,1/1/2011,Iowa,12.56363636
153,1/1/2012,Iowa,12.91900981
154,1/1/2013,Iowa,12.67750227
155,1/1/2014,Iowa,12.59539169
156,1/1/2015,Iowa,11.92020202
157,1/1/2016,Iowa,11.32929293
158,1/1/2017,Iowa,11.02323232
159,1/1/2018,Iowa,10.61414141
160,1/1/2019,Iowa,9
161,1/1/2010,Kansas,13.35142857
162,1/1/2011,Kansas,12.9952381
163,1/1/2012,Kansas,15.08965819
164,1/1/2013,Kansas,14.79085417
165,1/1/2014,Kansas,14.48984902
166,1/1/2015,Kansas,12.84666667
167,1/1/2016,Kansas,12.2352381
168,1/1/2017,Kansas,12.10952381
169,1/1/2018,Kansas,11.83619048
170,1/1/2019,Kansas,12.29333333
171,1/1/2010,Kentucky,18.34166667
172,1/1/2011,Kentucky,17.40916667
173,1/1/2012,Kentucky,17.15332877
174,1/1/2013,Kentucky,16.67604553
175,1/1/2014,Kentucky,16.43416426
176,1/1/2015,Kentucky,16.2475
177,1/1/2016,Kentucky,15.71083333
178,1/1/2017,Kentucky,15.70916667
179,1/1/2018,Kentucky,15.42916667
180,1/1/2019,Kentucky,16.3625
181,1/1/2010,Louisiana,16.0453125
182,1/1/2011,Louisiana,16.1828125
183,1/1/2012,Louisiana,17.14706276
184,1/1/2013,Louisiana,16.91043229
185,1/1/2014,Louisiana,16.81234556
186,1/1/2015,Louisiana,17.103125
187,1/1/2016,Louisiana,17.2578125
188,1/1/2017,Louisiana,17.009375
189,1/1/2018,Louisiana,16.5578125
190,1/1/2019,Louisiana,16.5359375
191,1/1/2010,Maine,16.10625
192,1/1/2011,Maine,15.35
193,1/1/2012,Maine,15.70711375
194,1/1/2013,Maine,15.49813721
195,1/1/2014,Maine,15.51529697
196,1/1/2015,Maine,15.3875
197,1/1/2016,Maine,14.74375
198,1/1/2017,Maine,14.11875
199,1/1/2018,Maine,13.3875
200,1/1/2019,Maine,13.51875
201,1/1/2010,Maryland,11.73913043
202,1/1/2011,Maryland,11.22608696
203,1/1/2012,Maryland,13.40359066
204,1/1/2013,Maryland,13.13946337
205,1/1/2014,Maryland,12.775405
206,1/1/2015,Maryland,11.4826087
207,1/1/2016,Maryland,11.03478261
208,1/1/2017,Maryland,10.34347826
209,1/1/2018,Maryland,10.13913043
210,1/1/2019,Maryland,11.09130435
211,1/1/2010,Massachusetts,11.07142857
212,1/1/2011,Massachusetts,10.91428571
213,1/1/2012,Massachusetts,12.29473357
214,1/1/2013,Massachusetts,11.88358242
215,1/1/2014,Massachusetts,11.46825316
216,1/1/2015,Massachusetts,10.70714286
217,1/1/2016,Massachusetts,10.22857143
218,1/1/2017,Massachusetts,9.257142857
219,1/1/2018,Massachusetts,9.021428571
220,1/1/2019,Massachusetts,8.478571429
221,1/1/2010,Michigan,18.11927711
222,1/1/2011,Michigan,16.1
223,1/1/2012,Michigan,17.91977005
224,1/1/2013,Michigan,16.79641337
225,1/1/2014,Michigan,16.40533561
226,1/1/2015,Michigan,14.08313253
227,1/1/2016,Michigan,13.17228916
228,1/1/2017,Michigan,12.86024096
229,1/1/2018,Michigan,12.88795181
230,1/1/2019,Michigan,13.66024096
231,1/1/2010,Minnesota,11.77816092
232,1/1/2011,Minnesota,10.49195402
233,1/1/2012,Minnesota,11.37391599
234,1/1/2013,Minnesota,10.74651538
235,1/1/2014,Minnesota,10.56678683
236,1/1/2015,Minnesota,9.834482759
237,1/1/2016,Minnesota,9.564367816
238,1/1/2017,Minnesota,9.281609195
239,1/1/2018,Minnesota,9.163218391
240,1/1/2019,Minnesota,8.6
241,1/1/2010,Mississippi,22.31097561
242,1/1/2011,Mississippi,22.56463415
243,1/1/2012,Mississippi,21.4355356
244,1/1/2013,Mississippi,22.30507557
245,1/1/2014,Mississippi,22.72494013
246,1/1/2015,Mississippi,22.86829268
247,1/1/2016,Mississippi,21.9304878
248,1/1/2017,Mississippi,21.20365854
249,1/1/2018,Mississippi,20.34512195
250,1/1/2019,Mississippi,19.31219512
251,1/1/2010,Missouri,17.21043478
252,1/1/2011,Missouri,16.2373913
253,1/1/2012,Missouri,17.12000357
254,1/1/2013,Missouri,17.12109024
255,1/1/2014,Missouri,17.04170845
256,1/1/2015,Missouri,15.95913043
257,1/1/2016,Missouri,15.26
258,1/1/2017,Missouri,14.71826087
259,1/1/2018,Missouri,14.06434783
260,1/1/2019,Missouri,14.19043478
261,1/1/2010,Montana,13.68928571
262,1/1/2011,Montana,14.19464286
263,1/1/2012,Montana,14.92888693
264,1/1/2013,Montana,14.58302865
265,1/1/2014,Montana,14.22822891
266,1/1/2015,Montana,13.19107143
267,1/1/2016,Montana,12.95892857
268,1/1/2017,Montana,12.65357143
269,1/1/2018,Montana,12.05
270,1/1/2019,Montana,10.86071429
271,1/1/2010,Nebraska,11.52043011
272,1/1/2011,Nebraska,11.4
273,1/1/2012,Nebraska,13.67927882
274,1/1/2013,Nebraska,13.37087886
275,1/1/2014,Nebraska,13.21690582
