,time,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,2011-01-01,20.379104477611925,15.02173913043478,20.746666666666666,19.257333333333328,17.989655172413798,14.1265625,11.7125,12.366666666666667,15.8,17.605970149253736,19.80125786163524,14.025,16.18409090909091,14.561764705882347,16.042391304347824,12.960606060606064,13.351428571428572,18.341666666666665,16.045312499999994,16.10625,11.73913043478261,11.071428571428573,18.11927710843373,11.778160919540223,22.31097560975609,17.210434782608694,13.689285714285715,11.520430107526884,14.852941176470587,10.45,12.766666666666667,17.593939393939394,12.848387096774195,19.279,8.235849056603774,17.586363636363632,17.349350649350647,17.436111111111117,13.849253731343286,13.88,21.36086956521739,12.238461538461545,18.925263157894737,17.921653543307084,15.944827586206898,13.778571428571427,14.051879699248126,16.066666666666666,15.025454545454547,13.35,11.917391304347827
1,2012-01-01,19.292537313432838,14.573913043478258,19.553333333333327,18.98133333333333,17.799999999999994,14.257812500000002,12.05,12,16.4595096723815,17.788059701492546,19.516981132075472,13.675,16.522727272727273,13.55686274509804,14.607608695652175,12.563636363636364,12.995238095238099,17.409166666666653,16.182812499999994,15.349999999999998,11.226086956521735,10.914285714285716,16.1,10.491954022988503,22.56463414634146,16.237391304347828,14.194642857142865,11.4,15.794117647058822,9.96,12.423809523809526,17.563636363636366,12.327419354838712,18.585,7.683018867924527,16.41477272727274,16.53636363636363,16.391666666666666,13.225373134328361,13.920000000000002,20.40434782608696,12.096923076923074,16.754736842105267,17.42125984251969,16.275862068965516,12.864285714285714,13.425563909774434,15.67948717948718,15.512727272727265,12.484722222222222,12.134782608695652
2,2013-01-01,19.4974118940438,14.694528156210305,19.090459629418,19.714232130318198,17.426682944606302,15.5429295989131,14.5320382080756,13.230665777420098,15.715312073217303,18.6745489003776,20.0234126422155,14.5547384729526,17.301741025940302,15.210277452649,16.3265725752127,12.9190098059993,15.089658189254902,17.1533287743091,17.1470627580967,15.707113751968805,13.403590659282699,12.2947335695775,17.9197700489065,11.373915991454199,21.4355355962978,17.120003566979403,14.9288869253526,13.6792788177404,17.3560085806967,10.6137639831466,13.9515743686626,20.0641237446115,14.657904566802001,19.2963196122448,7.36915365855085,17.793839055705,17.2443260043233,17.9254978035099,14.867511174470199,15.3190995546475,18.5972905798604,12.5205986782869,17.6031213646975,18.745159871704,16.748768822620303,13.0501204442309,12.6809956371832,16.127143070067802,15.269240968349099,13.0329195851301,11.989622604979598
3,2014-01-01,18.569592057109602,13.969531710344805,17.8471614487762,19.4304695179699,16.2443683110756,14.568058875985,13.8833377386643,13.0303175690116,14.4767784818835,17.850176585375603,18.8971813855823,14.169227752667696,15.795925120070601,14.2429023735841,15.658523795785902,12.6775022721462,14.7908541687963,16.6760455344984,16.910432293840802,15.4981372141873,13.139463372216401,11.8835824201221,16.7964133654951,10.746515380993099,22.3050755697126,17.121090244616898,14.5830286497118,13.3708788617777,16.8213703061077,10.9251180039948,12.9942839995984,18.561157840327105,14.0965927843272,18.599840259604303,7.73839812014385,17.1702301367134,17.2039571985048,16.7463679230888,14.3277693579585,14.656876373427599,17.9644318686765,12.3428938962314,17.0656525784423,18.3192479063922,15.544146700489302,13.3591901739746,12.137138314121199,14.9551718918279,14.9982780114185,12.6496621436372,13.0045869968009
4,2015-01-01,18.800626101377002,14.2491416507512,17.526118880443498,19.743033406062697,14.952682084228199,13.9147481563073,13.5800649596227,13.2120045498294,14.995769194476301,16.9568543936795,18.7325732246068,13.8128590495807,15.558861039019,13.624915435213197,15.4159961600401,12.5953916883682,14.4898490198714,16.4341642597368,16.8123455562354,15.5152969731281,12.775404996682301,11.468253161894,16.4053356120515,10.566786830443599,22.724940132862802,17.0417084493473,14.2282289086011,13.216905822588599,15.812490860660601,10.8201311865347,12.380132951447301,17.3079293162044,13.942813559751599,18.2974108606162,7.80073901738059,16.869003443839,17.001128145250302,15.751393424790699,14.1591371276255,14.440172285406401,17.0594233648506,12.442047777368801,17.0539370669051,17.593980806174606,14.596300698548601,13.5662193000654,11.8959058302831,14.6010718641261,15.7741125511243,12.433147886721802,12.781082556147899
5,2016-01-01,18.95223880597015,15.9304347826087,17.64,19.75466666666668,14.662068965517244,12.810937499999996,11.974999999999998,11.9,13.5,16.491044776119402,17.93962264150943,13.275,14.54772727272727,12.316666666666665,13.506521739130438,11.92020202020202,12.846666666666668,16.24750000000001,17.103125,15.3875,11.482608695652175,10.707142857142856,14.083132530120478,9.83448275862069,22.868292682926825,15.959130434782605,13.19107142857143,12.036559139784947,13.452941176470587,10.36,11.200000000000005,16.05757575757576,11.914516129032256,17.095999999999993,7.279245283018866,14.575000000000005,15.719480519480515,15.288888888888884,12.368656716417911,12.46,17.773913043478263,12.563076923076927,15.549473684210524,15.662992125984257,14.479310344827585,12.814285714285715,12.93458646616541,14.158974358974357,15.227272727272727,11.413888888888893,12.4304347826087
6,2017-01-01,18.492537313432837,15.34782608695652,16.959999999999994,19.144,13.767241379310349,11.862500000000002,11.249999999999998,11.633333333333333,12.7,16.226865671641796,16.993081761006287,12.35,13.640909090909092,11.93627450980392,12.849999999999998,11.329292929292931,12.235238095238097,15.71083333333334,17.257812500000004,14.74375,11.034782608695652,10.22857142857143,13.172289156626508,9.564367816091957,21.93048780487804,15.260000000000007,12.958928571428574,11.798924731182794,12.852941176470587,9.989999999999998,10.447619047619048,15.74242424242424,11.71129032258064,16.74299999999999,7.0018867924528285,14.098863636363633,15.354545454545455,14.447222222222226,12.05373134328358,11.64,17.16521739130435,12.347692307692313,14.898947368421045,15.033858267716534,14.28965517241379,12.25,12.487969924812033,13.315384615384614,14.89818181818182,10.865277777777779,12.03478260869565
7,2018-01-01,18.092537313432835,14.86521739130435,16.16,18.138666666666676,13.065517241379313,11.062499999999998,10.725,11.466666666666667,11.9,15.507462686567168,16.447798742138367,11.425,13.211363636363638,11.57941176470588,12.470652173913045,11.023232323232328,12.109523809523804,15.709166666666668,17.009375,14.11875,10.343478260869565,9.257142857142854,12.860240963855428,9.2816091954023,21.203658536585365,14.718260869565222,12.653571428571427,11.40537634408602,12.135294117647062,9.390000000000002,10.014285714285714,15.900000000000004,11.029032258064511,15.946999999999996,6.986792452830187,13.692045454545452,15.370129870129867,13.577777777777774,11.98358208955224,11.16,16.08695652173913,11.755384615384614,14.093684210526323,14.861417322834642,13.95862068965517,11.685714285714289,12.034586466165411,13.06153846153846,14.000000000000005,10.233333333333333,12.434782608695654
8,2019-01-01,17.155223880597013,14.778260869565216,15.533333333333335,17.758666666666674,12.389655172413793,10.5609375,10.475,11.466666666666667,11.4,14.641791044776118,15.710691823899374,10.575,12.54318181818182,11.038235294117648,11.870652173913046,10.614141414141411,11.836190476190481,15.429166666666662,16.557812500000004,13.3875,10.139130434782613,9.02142857142857,12.887951807228921,9.163218390804596,20.34512195121951,14.064347826086955,12.05,11.278494623655913,11.341176470588234,9.11,9.638095238095236,15.963636363636365,10.904838709677419,15.419000000000004,6.4735849056603785,13.456818181818186,15.031168831168838,12.955555555555556,11.483582089552238,10.419999999999998,15.378260869565224,12.004615384615386,13.327368421052633,14.470078740157485,13.413793103448276,11.500000000000002,11.742857142857144,12.423076923076927,13.803636363636361,9.612500000000002,11.786956521739128
9,2020-01-01,17.71940298507463,14.265217391304347,15.753333333333332,18.23866666666667,11.910344827586204,11.039062500000005,10.7625,11.366666666666667,10.7,13.944776119402983,14.847798742138364,10.85,11.577272727272724,10.918627450980397,12.586956521739127,9,12.293333333333326,16.3625,16.535937500000006,13.51875,11.091304347826087,8.478571428571428,13.660240963855419,8.6,19.312195121951216,14.19043478260869,10.860714285714282,12.017204301075273,12.370588235294116,9.38,8.757142857142856,15.48787878787879,10.888709677419353,15.147,6.466037735849057,13.621590909090907,15.001298701298705,13.133333333333333,10.852238805970151,9.22,12.836956521739127,11.343076923076918,14.424210526315784,15.304330708661418,12.555172413793105,10.857142857142856,11.11127819548872,12.853846153846154,14.085454545454546,8.950000000000003,12.256521739130434
