fips,state_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Alabama,20.379104477611936,19.292537313432835,19.4974118940438,18.569592057109602,18.800626101377002,18.95223880597015,18.492537313432837,18.092537313432835,17.155223880597013,17.719402985074627
2,Alaska,15.02173913043478,14.573913043478258,14.694528156210302,13.969531710344802,14.2491416507512,15.9304347826087,15.34782608695652,14.86521739130435,14.778260869565216,14.265217391304347
4,Arizona,20.746666666666663,19.553333333333335,19.090459629418,17.8471614487762,17.526118880443498,17.64,16.959999999999997,16.16,15.533333333333335,15.753333333333332
5,Arkansas,19.257333333333328,18.981333333333335,19.714232130318198,19.4304695179699,19.743033406062697,19.754666666666676,19.144,18.13866666666667,17.758666666666674,18.23866666666667
6,California,17.989655172413794,17.799999999999997,17.426682944606302,16.2443683110756,14.952682084228199,14.662068965517244,13.767241379310347,13.065517241379311,12.389655172413793,11.910344827586204
8,Colorado,14.1265625,14.257812500000002,15.5429295989131,14.568058875985,13.9147481563073,12.810937499999996,11.862500000000002,11.062499999999998,10.5609375,11.039062500000004
9,Connecticut,11.7125,12.05,14.5320382080756,13.8833377386643,13.5800649596227,11.974999999999998,11.249999999999998,10.725,10.475,10.762500000000001
10,Delaware,12.366666666666667,12,13.230665777420098,13.0303175690116,13.2120045498294,11.9,11.633333333333333,11.466666666666667,11.466666666666669,11.366666666666667
11,District of Columbia,15.8,16.4595096723815,15.715312073217302,14.4767784818835,14.995769194476301,13.5,12.7,11.9,11.4,10.7
12,Florida,17.60597014925373,17.788059701492543,18.6745489003776,17.850176585375603,16.9568543936795,16.4910447761194,16.226865671641796,15.507462686567168,14.641791044776118,13.944776119402986
13,Georgia,19.801257861635236,19.516981132075472,20.0234126422155,18.8971813855823,18.7325732246068,17.93962264150943,16.99308176100629,16.447798742138367,15.710691823899374,14.847798742138362
15,Hawaii,14.025,13.674999999999999,14.5547384729526,14.169227752667698,13.8128590495807,13.275,12.350000000000001,11.425,10.575,10.85
16,Idaho,16.18409090909091,16.522727272727277,17.301741025940302,15.795925120070601,15.558861039019,14.54772727272727,13.640909090909092,13.211363636363638,12.54318181818182,11.577272727272726
17,Illinois,14.56176470588235,13.556862745098039,15.210277452649,14.2429023735841,13.624915435213198,12.316666666666666,11.936274509803921,11.579411764705881,11.038235294117648,10.918627450980395
18,Indiana,16.042391304347824,14.607608695652175,16.3265725752127,15.658523795785902,15.4159961600401,13.506521739130438,12.849999999999998,12.470652173913043,11.870652173913046,12.586956521739127
19,Iowa,12.960606060606066,12.563636363636363,12.9190098059993,12.6775022721462,12.5953916883682,11.920202020202021,11.329292929292933,11.02323232323233,10.614141414141411,9
20,Kansas,13.351428571428574,12.995238095238099,15.089658189254902,14.7908541687963,14.4898490198714,12.846666666666668,12.235238095238094,12.109523809523806,11.83619047619048,12.293333333333326
21,Kentucky,18.341666666666665,17.409166666666657,17.1533287743091,16.6760455344984,16.4341642597368,16.24750000000001,15.71083333333334,15.709166666666667,15.429166666666662,16.3625
22,Louisiana,16.045312499999994,16.182812499999994,17.1470627580967,16.910432293840802,16.8123455562354,17.103125,17.257812500000004,17.009375,16.557812500000004,16.535937500000003
23,Maine,16.10625,15.349999999999998,15.707113751968802,15.4981372141873,15.5152969731281,15.387500000000001,14.74375,14.11875,13.387500000000001,13.51875
24,Maryland,11.73913043478261,11.226086956521737,13.403590659282699,13.139463372216401,12.775404996682301,11.482608695652175,11.034782608695652,10.343478260869565,10.139130434782611,11.091304347826089
25,Massachusetts,11.071428571428571,10.914285714285715,12.2947335695775,11.8835824201221,11.468253161894,10.707142857142857,10.22857142857143,9.257142857142856,9.02142857142857,8.478571428571428
26,Michigan,18.11927710843373,16.1,17.9197700489065,16.7964133654951,16.4053356120515,14.083132530120478,13.172289156626505,12.860240963855423,12.88795180722892,13.66024096385542
27,Minnesota,11.778160919540225,10.491954022988505,11.373915991454199,10.746515380993099,10.566786830443599,9.83448275862069,9.564367816091957,9.2816091954023,9.163218390804596,8.6
28,Mississippi,22.310975609756095,22.56463414634146,21.4355355962978,22.3050755697126,22.724940132862802,22.868292682926832,21.93048780487804,21.203658536585365,20.34512195121951,19.312195121951216
29,Missouri,17.210434782608697,16.237391304347828,17.120003566979403,17.121090244616898,17.0417084493473,15.959130434782606,15.260000000000007,14.718260869565222,14.064347826086955,14.19043478260869
30,Montana,13.689285714285715,14.194642857142863,14.9288869253526,14.5830286497118,14.2282289086011,13.19107142857143,12.958928571428572,12.653571428571428,12.05,10.860714285714284
31,Nebraska,11.520430107526884,11.4,13.6792788177404,13.3708788617777,13.216905822588599,12.036559139784945,11.798924731182797,11.405376344086019,11.278494623655915,12.017204301075273
32,Nevada,14.85294117647059,15.794117647058824,17.3560085806967,16.8213703061077,15.812490860660601,13.452941176470588,12.852941176470589,12.135294117647062,11.341176470588234,12.370588235294115
33,New Hampshire,10.45,9.959999999999999,10.6137639831466,10.9251180039948,10.8201311865347,10.360000000000001,9.989999999999998,9.390000000000002,9.11,9.379999999999999
