,Year,State,Prophet ForecastValue Future,Prophet ForecastValue Validation,fi
0,2010-01-01,Alabama,19.88881588902954,19.968676183700754,
1,2011-01-01,Alabama,19.745302791137554,19.760710051929927,
2,2012-01-01,Alabama,19.556978095082542,19.38460640776992,
3,2013-01-01,Alabama,18.883796736215817,18.76632510630895,
4,2014-01-01,Alabama,18.784931924219805,18.858405447076308,
5,2015-01-01,Alabama,18.64142326920008,18.7788437995667,
6,2016-01-01,Alabama,18.45310168132735,18.527457352886685,
7,2017-01-01,Alabama,17.779923437392583,18.031666648534532,
8,2017-12-31,Alabama,0.0,17.510763533101162,
9,2018-01-01,Alabama,17.681058622910317,0.0,
10,2018-12-31,Alabama,0.0,16.746961873360878,
11,2019-01-01,Alabama,17.53754996671785,0.0,
12,2019-12-31,Alabama,17.250787659229907,15.8143441090928,
13,2020-12-31,Alabama,17.115995668284906,17.37010847988946,
14,2021-12-31,Alabama,16.837824673441705,16.776310548129267,
15,2022-12-31,Alabama,16.514759286933362,16.012508888390876,
16,2023-12-31,Alabama,16.146914357580627,15.079891124118769,
17,2024-12-31,Alabama,16.01212236663658,0.0,
18,2025-12-31,Alabama,15.733951371793744,0.0,
19,2010-01-01,Alaska,14.626724183114431,14.414765757004567,
20,2011-01-01,Alaska,14.847820913925768,14.796077060470862,
21,2012-01-01,Alaska,15.022669806355477,14.937241272007974,
22,2013-01-01,Alaska,14.410765941527789,14.254566669465804,
23,2014-01-01,Alaska,14.677855031536609,14.876058873371383,
24,2015-01-01,Alaska,14.898951762967336,15.257758518016669,
25,2016-01-01,Alaska,15.073800654336912,15.39931106286338,
26,2017-01-01,Alaska,14.461350135149026,14.716667179176493,
27,2017-12-31,Alaska,0.0,14.962661168558805,
28,2018-01-01,Alaska,14.727893962604785,0.0,
29,2018-12-31,Alaska,0.0,14.38583565889258,
30,2019-01-01,Alaska,14.948445432341783,0.0,
31,2019-12-31,Alaska,15.306067576371275,13.571614481585527,
32,2020-12-31,Alaska,15.250624680942357,15.76289373226426,
33,2021-12-31,Alaska,15.331967688844047,15.424770277744235,
34,2022-12-31,Alaska,15.366749166627768,14.847944768079996,
35,2023-12-31,Alaska,15.355015880805661,14.033723590768128,
36,2024-12-31,Alaska,15.299572985377393,0.0,
37,2025-12-31,Alaska,15.380915993279574,0.0,
38,2010-01-01,Arizona,20.418042194984054,20.65573064759058,
39,2011-01-01,Arizona,19.826201340401315,19.674365455666983,
40,2012-01-01,Arizona,19.13169035305021,19.03255021090717,
41,2013-01-01,Arizona,17.910581085205678,17.851514102439488,
42,2014-01-01,Arizona,17.705292526056994,17.69672780606434,
43,2015-01-01,Arizona,17.397988952343038,17.430801873106674,
44,2016-01-01,Arizona,16.987824864512177,17.05058688952169,
45,2017-01-01,Arizona,16.049863642532166,16.13147619198609,
46,2017-12-31,Arizona,0.0,15.947046204994898,
47,2018-01-01,Arizona,15.84511759372766,0.0,
48,2018-12-31,Arizona,0.0,15.224079129618893,
49,2019-01-01,Arizona,15.537814020612812,0.0,
50,2019-12-31,Arizona,14.318529793261014,14.387539707950022,
51,2020-12-31,Arizona,14.614494433043339,14.838784373582367,
52,2021-12-31,Arizona,13.998388951507055,14.22985666594177,
53,2022-12-31,Arizona,13.279547205045553,13.506889590566546,
54,2023-12-31,Arizona,12.458354862600748,12.670350168895773,
55,2024-12-31,Arizona,12.754319502385725,0.0,
56,2025-12-31,Arizona,12.138214020850079,0.0,
57,2010-01-01,Arkansas,19.11799601751644,19.25733333333352,
58,2011-01-01,Arkansas,19.427783127162993,18.98133333332888,
59,2012-01-01,Arkansas,19.694013595685423,19.714232130320774,
60,2013-01-01,Arkansas,19.249945028020104,19.430469517978917,
61,2014-01-01,Arkansas,19.6028089741765,19.7430334060651,
62,2015-01-01,Arkansas,19.431249724414368,19.75466666666032,
63,2016-01-01,Arkansas,19.214243066178874,19.143999999993504,
64,2017-01-01,Arkansas,18.28561343274215,18.138666666672382,
65,2017-12-31,Arkansas,0.0,17.054351775201447,
66,2018-01-01,Arkansas,18.155440097308993,0.0,
67,2018-12-31,Arkansas,0.0,15.581489840036273,
68,2019-01-01,Arkansas,17.981990083292583,0.0,
69,2019-12-31,Arkansas,17.907471226471394,13.82818569156035,
70,2020-12-31,Arkansas,17.504209140633257,16.285412063137493,
71,2021-12-31,Arkansas,17.199525558185957,15.096804421018177,
